"","Class","Broadclass","Mean"
"Acetate_resistance","Acetate_resistance","Biocides",0.00561136627260675
"Acid_resistance","Acid_resistance","Biocides",0.00669876734168792
"Aminocoumarins","Aminocoumarins","Drugs",0.00507059390291896
"Aminoglycosides","Aminoglycosides","Drugs",0.0737624156783383
"Arsenic_resistance","Arsenic_resistance","Metals",0.0145893171845875
"Bacitracin","Bacitracin","Drugs",0.00188518819744681
"Biguanide_resistance","Biguanide_resistance","Biocides",0.000686614777090379
"Biocide_and_metal_resistance","Biocide_and_metal_resistance","Multi-compound",0.0208567245726444
"Cadmium_resistance","Cadmium_resistance","Metals",0.000186858530321697
"Cationic_antimicrobial_peptides","Cationic_antimicrobial_peptides","Drugs",0.00925506255153096
"Chromium_resistance","Chromium_resistance","Metals",0.00434327739717882
"Cobalt_resistance","Cobalt_resistance","Metals",0.000636936302449016
"Copper_resistance","Copper_resistance","Metals",0.0445143025088643
"Drug_and_biocide_and_metal_resistance","Drug_and_biocide_and_metal_resistance","Multi-compound",0.0260180198128808
"Drug_and_biocide_resistance","Drug_and_biocide_resistance","Multi-compound",0.208093348437119
"Drug_and_metal_resistance","Drug_and_metal_resistance","Multi-compound",0.000521887007498074
"Fluoroquinolones","Fluoroquinolones","Drugs",0.00585647431963373
"Fosfomycin","Fosfomycin","Drugs",0.00287095050397281
"Fusidic_acid","Fusidic_acid","Drugs",0.00167389449701423
"Glycopeptides","Glycopeptides","Drugs",0.0147579747906961
"Gold_resistance","Gold_resistance","Metals",0.00019280396635651
"Iron_resistance","Iron_resistance","Metals",0.0132638531625515
"Lead_resistance","Lead_resistance","Metals",0.00356453716556068
"Lipopeptides","Lipopeptides","Drugs",0.00127287419916759
"MLS","MLS","Drugs",0.036522872253575
"Mercury_resistance","Mercury_resistance","Metals",0.0130230213983596
"Metronidazole","Metronidazole","Drugs",0.000409866993257767
"Multi-biocide_resistance","Multi-biocide_resistance","Biocides",0.0484241185954371
"Multi-drug_resistance","Multi-drug_resistance","Drugs",0.0548221077756084
"Multi-metal_resistance","Multi-metal_resistance","Metals",0.128889734719188
"Mupirocin","Mupirocin","Drugs",0.00650257457979584
"Mycobacterium_tuberculosis-specific_Drug","Mycobacterium_tuberculosis-specific_Drug","Drugs",0.000909435092068537
"Nickel_resistance","Nickel_resistance","Metals",0.0150696653110586
"Nucleosides","Nucleosides","Drugs",0.00114797407304252
"Peroxide_resistance","Peroxide_resistance","Biocides",0.00207787348884011
"Phenicol","Phenicol","Drugs",0.00850833000881106
"Phenolic_compound_resistance","Phenolic_compound_resistance","Biocides",0.00827832146406855
"Rifampin","Rifampin","Drugs",0.00710148518131032
"Sodium_resistance","Sodium_resistance","Metals",0.00375320131670284
"Sulfonamides","Sulfonamides","Drugs",0.00431595364623289
"Tellurium_resistance","Tellurium_resistance","Metals",0.00443554105285471
"Tetracenomycin","Tetracenomycin","Drugs",0.00112362141651417
"Tetracyclines","Tetracyclines","Drugs",0.0346990931623934
"Trimethoprim","Trimethoprim","Drugs",0.000707866073223167
"Zinc_resistance","Zinc_resistance","Metals",0.00968481527496957
"betalactams","betalactams","Drugs",0.143408484042571
