"","ID","Observed","Shannon","Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet","SampleBinary","is.neg"
"1","AMC66",313,5.36544601986024,"AMC66","373",2019-12-26,2019-09-25,"13","1","MR+A","Sample",FALSE
"2","AMC65",171,4.77698970168017,"AMC65","371",2019-12-26,2019-09-25,"13","3","MR","Sample",FALSE
"3","AMC68",212,5.01527916421301,"AMC68","384",2019-12-26,2019-09-26,"13","3","MR","Sample",FALSE
"4","AMC60",549,5.64575793145359,"AMC60","399",2019-12-13,2019-09-28,"11","3","MR","Sample",FALSE
"5","AMC69",542,5.66126555359868,"AMC69","396",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE
"6","AMC6",610,5.62770045731755,"AMC6","384",2019-10-03,2019-09-26,"1","3","MR","Sample",FALSE
"7","AMC64",161,4.81373742941142,"AMC64","369",2019-12-26,2019-09-25,"13","1","MR+A","Sample",FALSE
"8","AMC62",194,4.85897375605426,"AMC62","363",2019-12-24,2019-09-24,"13","1","MR+A","Sample",FALSE
"9","AMC67",195,4.98955836798439,"AMC67","387",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE
"10","AMC38",578,5.65146382643175,"AMC38","369",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE
"11","AMC30",447,5.57047539731608,"AMC30","399",2019-11-01,2019-09-28,"5","3","MR","Sample",FALSE
"12","AMC32",439,5.55794452410325,"AMC32","363",2019-11-12,2019-09-24,"7","1","MR+A","Sample",FALSE
"13","AMC33",467,5.55735966429171,"AMC33","365",2019-11-12,2019-09-24,"7","3","MR","Sample",FALSE
"14","AMC36",488,5.6126648777281,"AMC36","373",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE
"15","AMC37",181,4.80066913393242,"AMC37","371",2019-11-13,2019-09-25,"7","3","MR","Sample",FALSE
"16","AMC35",469,5.57217216079449,"AMC35","387",2019-11-15,2019-09-27,"7","1","MR+A","Sample",FALSE
"17","AMC47",478,5.60435383304783,"AMC47","384",2019-11-28,2019-09-26,"9","3","MR","Sample",FALSE
"18","AMC49",175,4.85304713041518,"AMC49","396",2019-11-29,2019-09-27,"9","1","MR+A","Sample",FALSE
"19","AMC46",204,4.93284943273749,"AMC46","373",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE
"20","AMC45",539,5.63710069141656,"AMC45","371",2019-11-27,2019-09-25,"9","3","MR","Sample",FALSE
"21","AMC44",477,5.57293200726634,"AMC44","369",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE
"22","AMC40",576,5.668716826752,"AMC40","399",2019-11-15,2019-09-28,"7","3","MR","Sample",FALSE
"23","AMC4",582,5.6635181810134,"AMC4","369",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE
"24","AMC43",445,5.55680079328988,"AMC43","365",2019-11-26,2019-09-24,"9","3","MR","Sample",FALSE
"25","AMC42",323,5.42084931883457,"AMC42","363",2019-11-26,2019-09-24,"9","1","MR+A","Sample",FALSE
"26","AMC10",168,4.73618224736289,"AMC10","373",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE
"27","AMC1",452,5.55207883177002,"AMC1","361",2019-10-01,2019-09-24,"1","3","MR","Sample",FALSE
"28","AMC97",602,5.65928311362295,"AMC97","378",2019-12-26,2019-09-26,"13","1","MR+A","Sample",FALSE
"29","AMC91",593,5.64767488160292,"AMC91","378",2019-10-03,2019-09-26,"1","1","MR+A","Sample",FALSE
"30","AMC95",569,5.67395795807488,"AMC95","378",2019-11-28,2019-09-26,"9","1","MR+A","Sample",FALSE
"31","AMC93",588,5.65546567177119,"AMC93","378",2019-10-31,2019-09-26,"5","1","MR+A","Sample",FALSE
"32","AMC9",493,5.59570466964331,"AMC9","399",2019-10-04,2019-09-28,"1","3","MR","Sample",FALSE
"33","AMC94",565,5.64486200075211,"AMC94","378",2019-11-14,2019-09-26,"7","1","MR+A","Sample",FALSE
"34","AMC96",554,5.64926730717157,"AMC96","378",2019-12-12,2019-09-26,"11","1","MR+A","Sample",FALSE
"35","AMC53",458,5.57558388728897,"AMC53","365",2019-12-10,2019-09-24,"11","3","MR","Sample",FALSE
"36","AMC5",146,4.68219140063761,"AMC5","371",2019-10-02,2019-09-25,"1","3","MR","Sample",FALSE
"37","AMC57",465,5.56913300529399,"AMC57","384",2019-12-12,2019-09-26,"11","3","MR","Sample",FALSE
"38","AMC55",407,5.51802340503582,"AMC55","371",2019-12-11,2019-09-25,"11","3","MR","Sample",FALSE
"39","AMC59",320,5.36088588408569,"AMC59","396",2019-12-13,2019-09-27,"11","1","MR+A","Sample",FALSE
"40","AMC50",103,4.52785821507085,"AMC50","399",2019-11-29,2019-09-28,"9","3","MR","Sample",FALSE
"41","AMC52",435,5.53975257437304,"AMC52","363",2019-12-12,2019-09-24,"11","1","MR+A","Sample",FALSE
"42","AMC54",581,5.64517423719248,"AMC54","369",2019-12-11,2019-09-25,"11","1","MR+A","Sample",FALSE
"43","AMC22",476,5.59838951914485,"AMC22","363",2019-10-29,2019-09-24,"5","1","MR+A","Sample",FALSE
"44","AMC28",488,5.6010243283505,"AMC28","387",2019-11-01,2019-09-27,"5","1","MR+A","Sample",FALSE
"45","AMC25",450,5.57321185548026,"AMC25","371",2019-10-30,2019-09-25,"5","3","MR","Sample",FALSE
"46","AMC26",214,4.95703223738736,"AMC26","373",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE
"47","AMC24",333,5.38393928649028,"AMC24","369",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE
"48","AMC21",150,4.76176595338185,"AMC21","361",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE
"49","AMC23",375,5.46603946822675,"AMC23","365",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE
"50","AMC27",529,5.62788538445603,"AMC27","384",2019-10-31,2019-09-26,"5","3","MR","Sample",FALSE
