"","Diet","Age_wk","response","SE","df","asymp.LCL","asymp.UCL"
"1","MR","1",422.636550145716,84.953433129931,Inf,285.015527296924,626.708499754777
"2","MR+A","1",423.040711338072,99.8216916290273,Inf,266.397794292398,671.790259843488
"3","MR","5",388.884809574941,70.1017296338792,Inf,273.136931267016,553.683437888141
"4","MR+A","5",414.118004600433,74.4375166258326,Inf,291.152843229521,589.016132667655
"5","MR","7",408.411667053119,94.6785614441286,Inf,259.281429740231,643.316761837596
"6","MR+A","7",507.989759625021,90.9308529904883,Inf,357.675120260176,721.474828039971
"7","MR","9",390.219337734623,78.7501097982514,Inf,262.74104536938,579.548320392706
"8","MR+A","9",339.991155467793,61.727838376277,Inf,238.19128108577,485.298980170062
"9","MR","11",465.905422268312,93.4289079460254,Inf,314.488440387503,690.225250351172
"10","MR+A","11",455.23064989913,92.3127778751307,Inf,305.930499949662,677.392233339543
"11","MR","13",189.869182937009,53.9693050013386,Inf,108.768958962794,331.439290887201
"12","MR+A","13",330.535727138779,54.6674937673377,Inf,239.021901195527,457.087264257798
