"","AMC60","AMC6","AMC38","AMC30","AMC32","AMC33","AMC31","AMC36","AMC37","AMC3","AMC35","AMC39","AMC34","AMC7","AMC47","AMC49","AMC46","AMC45","AMC44","AMC41","AMC48","AMC40","AMC4","AMC43","AMC42","AMC10","AMC1","AMC91","AMC95","AMC93","AMC9","AMC94","AMC8","AMC96","AMC53","AMC5","AMC58","AMC57","AMC55","AMC59","AMC50","AMC52","AMC54","AMC51","AMC56","AMC22","AMC28","AMC25","AMC26","AMC24","AMC21","AMC29","AMC23","AMC27","AMC2"
"Acetate_resistance",0,0.000177730383008975,0,0,0.00045903144365389,0.000387521798101143,0,0,0.0029673590504451,0.0212765957446809,0,0.0481927710843374,0,0,0,0.0207134637514384,0.0175879396984925,0.000426575663858377,0,0,0.03125,0.000165261940175178,0,0.000426712182632814,0,0.0268528464017186,0,0.000120554550934298,0.000176569259291957,0,0,0,0.0222222222222222,0.000172622130157086,0,0.0153846153846154,0,0,0,0,0.0148148148148148,0,0,0,0.0180995475113122,0,0,0,0.0337394564198688,0,0.00862068965517241,0.024390243902439,0,0,0
"Acid_resistance",0.0014760147601476,0.0014218430640718,0.00170290804296568,0.00107642626480086,0.000918062887307781,0.000775043596202286,0,0.00142612664004564,0,0.0212765957446809,0,0.0240963855421687,0,0,0.00115495668912416,0.0379746835443038,0.0242881072026801,0.000639863495787565,0.00174125021765628,0.0206185567010309,0.015625,0.0014873574615766,0.00151233931394789,0.000426712182632814,0.00218459858001092,0.0311493018259936,0.00199560965875075,0.000964436407474382,0.00105941555575174,0.00146355192794821,0.000983929157100689,0.00140712945590994,0,0.000863110650785431,0.000734753857457752,0.0230769230769231,0.0289855072463768,0.00108794197642792,0.00125078173858662,0.0031055900621118,0.0222222222222222,0.000447527411053927,0.00126760563380282,0,0.0361990950226244,0.00142500890630566,0.000631612190115269,0.000815328169588259,0.0262417994376757,0.00100857286938981,0.00431034482758621,0,0,0.000925259586717385,0.012987012987013
"Aminocoumarins",0.00498154981549816,0.0043543943837199,0.00471574534975111,0.00448510943667025,0.00504934588019279,0.00484402247626429,0,0.00370792926411865,0.0103857566765579,0,0.00469641060046964,0.0240963855421687,0,0,0.00442733397497594,0.00115074798619102,0.0016750418760469,0.00575877146208809,0.00539787567473446,0,0.015625,0.00537101305569327,0.00412456176531244,0.00448047791764455,0.00928454396504642,0,0.00538814607862702,0.00433996383363472,0.0061799240752185,0.00377146073740501,0.00508363397835356,0.00390869293308318,0,0.0050060417745555,0.00698016164584864,0,0.00966183574879227,0.00471441523118767,0.00375234521575985,0.005175983436853,0.00740740740740741,0.00604162004922802,0.00514084507042253,0,0,0.00587816173851087,0.00600031580609506,0.00448430493273543,0.00374882849109653,0.00252143217347453,0.021551724137931,0,0.00561167227833894,0.00493471779582605,0.012987012987013
"Aminoglycosides",0.0736162361623616,0.0702479338842975,0.0728320670683783,0.0663796196627198,0.0647234335551985,0.0707227281534586,0.0579710144927536,0.0733029092983457,0.0979228486646885,0.106382978723404,0.0711170748071117,0.072289156626506,0.0327868852459016,0.0925925925925926,0.0617901828681425,0.0690448791714615,0.0510887772194305,0.0709182041164552,0.0666898833362354,0.0618556701030928,0.0390625,0.0737068253181292,0.0738983982951812,0.0714742905909964,0.0622610595303113,0.0687432867883996,0.0802235082817801,0.0699216395418927,0.0688620111238633,0.0681677455671264,0.0813381436536569,0.0695747342088806,0.111111111111111,0.0633523217676506,0.072556943423953,0.0692307692307692,0.0531400966183575,0.0781504986400725,0.0594121325828643,0.0719461697722567,0.0296296296296296,0.0648914746028194,0.0654929577464789,0.192307692307692,0.0271493212669683,0.0669754185963662,0.0628454129164693,0.0633917651854872,0.0965323336457357,0.0746343923348462,0.127155172413793,0.121951219512195,0.0718294051627384,0.071347794797985,0.11038961038961
"Arsenic_resistance",0.00968634686346863,0.00924197991646672,0.00943149069950223,0.00771438823107284,0.0100986917603856,0.00871924045727572,0,0.00926982316029663,0.0207715133531157,0.0531914893617021,0.00905736330090573,0.0240963855421687,0,0.037037037037037,0.0107795957651588,0.0345224395857307,0.0443886097152429,0.00938466460488429,0.0104475013059377,0.0206185567010309,0.0078125,0.00793257312840853,0.00969272014848422,0.0102410923831875,0.0114691425450573,0.0247046186895811,0.00997804829375374,0.00994575045207957,0.0119184250022071,0.00889389248522376,0.0126270908494588,0.0106316447779862,0.0111111111111111,0.0103573278094252,0.00936811168258633,0.05,0.00483091787439614,0.0119673617407072,0.00844277673545966,0.015527950310559,0.0333333333333333,0.00760796598791676,0.0100704225352113,0.0192307692307692,0.0361990950226244,0.0065906661916637,0.00884257066161377,0.00998777007745618,0.0365510777881912,0.0100857286938981,0.00862068965517241,0,0.0108492330714553,0.00853294952194921,0
"Bacitracin",0.0011070110701107,0.000977517106549365,0.00117893633743778,0.00143523501973448,0.00137709433096167,0.00232513078860686,0,0.000570450656018254,0,0,0,0,0,0,0.00115495668912416,0.0046029919447641,0.0016750418760469,0.000213287831929188,0.000696500087062511,0,0,0.00132209552140142,0.00116862583350519,0,0.00109229929000546,0.00322234156820623,0.0015964877270006,0.000421940928270042,0.000529707777875872,0.0010132282578103,0.000983929157100689,0.000938086303939962,0,0.00112204384602106,0.0014695077149155,0.00384615384615385,0.00966183574879227,0,0,0,0.00740740740740741,0,0.000704225352112676,0,0,0.00178126113288208,0.000947418285172904,0.00122299225438239,0.00656044985941893,0,0,0.024390243902439,0.000748222970445193,0.00123367944895651,0.012987012987013
"Biguanide_resistance",0.00018450184501845,0.000622056340531414,0.000392978779145926,0.000897021887334051,0.000918062887307781,0.000775043596202286,0,0.00114090131203651,0,0,0.00100637370010064,0,0,0,0.000384985563041386,0.00230149597238205,0,0.000639863495787565,0.00174125021765628,0,0,0.000661047760700711,0.000962397745239568,0.00128013654789844,0.00218459858001092,0,0.00039912193175015,0.000602772754671489,0.000706277037167829,0.000675485505206867,0.000983929157100689,0.00101626016260163,0,0.00103573278094252,0.000734753857457752,0.00192307692307692,0,0.00108794197642792,0.00187617260787992,0.0020703933747412,0,0.000895054822107854,0.000563380281690141,0,0,0.00106875667972925,0.000631612190115269,0.000815328169588259,0.00187441424554827,0.00100857286938981,0,0,0.00149644594089039,0.000205613241492752,0
"Biocide_and_metal_resistance",0.0226014760147601,0.0202612636630232,0.0201729106628242,0.0199138858988159,0.0135414275877898,0.0215074597946134,0,0.022532800912721,0.0163204747774481,0.0425531914893617,0.0192888292519289,0.0240963855421687,0,0,0.0240615976900866,0.0287686996547756,0.0351758793969849,0.0221819345206356,0.0196761274595159,0,0.03125,0.0192530160304082,0.0206228088265622,0.0196287604011095,0.0273074822501365,0.0214822771213749,0.0167631211335063,0.0191681735985533,0.0199523262999912,0.019082465522094,0.0145949491636602,0.0211851156973108,0.0444444444444444,0.0206283445537718,0.0198383541513593,0.0211538461538462,0.00966183574879227,0.0188576609247507,0.0250156347717323,0.0201863354037267,0.0296296296296296,0.0201387334974267,0.0191549295774648,0.0384615384615385,0.0497737556561086,0.0249376558603491,0.0194220748460445,0.015695067264574,0.0271790065604499,0.0221886031265759,0.0258620689655172,0,0.0187055742611298,0.0202529042870361,0.012987012987013
"Cadmium_resistance",0.00018450184501845,0.000311028170265707,0.000196489389572963,0,0.00045903144365389,0,0,0,0,0,0.000335457900033546,0,0,0,0,0,0,0.000426575663858377,0,0,0,0.000165261940175178,0.000274970784354162,0,0,0,0,0.000241109101868596,0.000529707777875872,0.000225161835068956,0.00032797638570023,0.000390869293308318,0,0.000345244260314172,0.000367376928728876,0.00384615384615385,0,0.000362647325475975,0.000625390869293308,0,0,0,0.000140845070422535,0,0,0,0.000315806095057635,0,0,0,0,0,0,0.000205613241492752,0
"Cationic_antimicrobial_peptides",0.00701107011070111,0.00613169821380965,0.00576368876080692,0.0069967707212056,0.00734450309846224,0.00658787056771943,0.0289855072463768,0.00570450656018255,0.00890207715133531,0,0.00872190540087219,0.0240963855421687,0,0,0.00789220404234841,0.0195627157652474,0.0201005025125628,0.00831822544523835,0.00766150095768762,0.0412371134020619,0.046875,0.00603206081639398,0.00714924039320822,0.00640068273949221,0.00764609503003823,0.037593984962406,0.0031929754540012,0.00650994575045208,0.00626820870486448,0.00686743596960315,0.00590357494260413,0.00719199499687305,0,0.00509235283963404,0.00881704628949302,0.00576923076923077,0.00966183574879227,0.00507706255666364,0.00656660412757974,0.0072463768115942,0.0148148148148148,0.00671291116580891,0.00619718309859155,0,0.00904977375565611,0.0089063056644104,0.0091583767566714,0.00774561761108846,0.014058106841612,0.00302571860816944,0,0,0.00374111485222596,0.00873856276344197,0
