"SampleID","PC1","PC2","Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet","SampleBinary","is.neg"
"AMC1",2.50492366875718,1.6187964085068,"AMC1","361",2019-10-01,2019-09-24,"1","3","MR","Sample",FALSE
"AMC10",-14.0934620211165,0.37230928792362,"AMC10","373",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE
"AMC21",-0.386183062080316,-8.70605078968615,"AMC21","361",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE
"AMC22",3.01179087549776,-0.112791757722559,"AMC22","363",2019-10-29,2019-09-24,"5","1","MR+A","Sample",FALSE
"AMC23",4.54643661388984,2.43933506566034,"AMC23","365",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE
"AMC24",4.17117093431157,-0.520358504084378,"AMC24","369",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE
"AMC25",3.9271118132419,-0.0961289095745486,"AMC25","371",2019-10-30,2019-09-25,"5","3","MR","Sample",FALSE
"AMC26",-9.99514475764208,0.461814298933801,"AMC26","373",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE
"AMC27",3.94695587537714,0.491663066281056,"AMC27","384",2019-10-31,2019-09-26,"5","3","MR","Sample",FALSE
"AMC28",3.70211593390877,0.341881325660409,"AMC28","387",2019-11-01,2019-09-27,"5","1","MR+A","Sample",FALSE
"AMC30",3.3332228313409,0.674860375431672,"AMC30","399",2019-11-01,2019-09-28,"5","3","MR","Sample",FALSE
"AMC32",1.35653836099684,0.534351310349281,"AMC32","363",2019-11-12,2019-09-24,"7","1","MR+A","Sample",FALSE
"AMC33",1.63291238770425,-0.262453174679674,"AMC33","365",2019-11-12,2019-09-24,"7","3","MR","Sample",FALSE
"AMC35",4.82592977961694,-0.27178943632921,"AMC35","387",2019-11-15,2019-09-27,"7","1","MR+A","Sample",FALSE
"AMC36",3.69178066918457,0.495471682517888,"AMC36","373",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE
"AMC37",1.14252129420476,-6.90585514070266,"AMC37","371",2019-11-13,2019-09-25,"7","3","MR","Sample",FALSE
"AMC38",2.7371645941611,1.13495873388164,"AMC38","369",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE
"AMC4",3.22282675090699,0.502534648074844,"AMC4","369",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE
