"","AMC60","AMC6","AMC38","AMC30","AMC32","AMC33","AMC31","AMC36","AMC37","AMC3","AMC35","AMC39","AMC34","AMC7","AMC47","AMC49","AMC46","AMC45","AMC44","AMC41","AMC48","AMC40","AMC4","AMC43","AMC42","AMC10","AMC1","AMC91","AMC95","AMC93","AMC9","AMC94","AMC8","AMC96","AMC53","AMC5","AMC58","AMC57","AMC55","AMC59","AMC50","AMC52","AMC54","AMC51","AMC56","AMC22","AMC28","AMC25","AMC26","AMC24","AMC21","AMC29","AMC23","AMC27","AMC2"
"Multi-biocide_resistance",0.497136520044571,0.522075688654926,0.583702600376475,0.593826225668254,0.642124460837082,0.585359383751238,0.671626829597929,0.730722212626921,0.569381741564518,1.16850764789418,0.555377191336967,-0.446387691668705,0.760630425974525,0.325070619733001,0.690919265647961,0.814047783946308,1.00153786716746,0.522315402709054,0.758734249254386,-0.485058480019794,0.263596826583482,0.525521075346544,0.495979037666417,0.544140415538117,0.473136806901297,0.622581659370689,0.525257288959066,0.527248417059866,0.652750430012324,0.57084577064332,0.644736482042537,0.558302827709483,1.56867602400286,0.601957981749288,0.524616604750442,1.09450746390195,0.57821815927476,0.672292743399575,0.629424894476609,0.346542595484215,0.691151116353357,0.588698745938796,0.522281552018823,1.03096624280782,0.772814270775498,0.533104822279252,0.743501904390987,0.733462200252641,1.09993275590243,0.530526098631998,-0.00514391526057481,1.48030693918996,0.653875346828318,0.526923614378582,0.399786369717292
"Phenolic_compound_resistance",-0.250670415951811,-0.2726139978843,-0.248037638721485,-0.231013329360213,-0.297831594368701,-0.219598275811982,-0.402976097758757,-0.255379956964,-0.502091172106893,-0.603514939022268,-0.317740639427955,0.0484034846387754,-0.37722321938574,-0.461942459620581,-0.288594455371489,-0.276618179010881,-0.399396942684504,-0.203970078873266,-0.240063830387004,-0.0250030144340101,-0.602507032190816,-0.291789320882891,-0.283559872381769,-0.195362485328203,-0.219660511552374,-0.392462868818484,-0.311966822118224,-0.221754481292826,-0.298352987816401,-0.20827738962359,-0.244243284651318,-0.249756781686847,-0.507844755972148,-0.257334686133413,-0.291860301561547,-0.291199233515196,-0.262826436033982,-0.348209372251642,-0.302212556171525,-0.298743616796738,-0.328943579440903,-0.227484147965559,-0.212091543245075,-0.49183710666061,-0.515987775955846,-0.232968831551789,-0.284572025695823,-0.275150308159292,-0.211583244996238,-0.367643025250551,-0.537539144730093,-0.424423667879639,-0.382992605626384,-0.284117874694368,-0.504648368331663
"Acid_resistance",-0.472004078042694,-0.464680942584957,-0.460108838925486,-0.482233498404416,-0.476370733346336,-0.503427277160863,-0.402976097758757,-0.469749993831592,-0.581459536082553,-0.0128407433834525,-0.498518340070912,0.0484034846387754,-0.37722321938574,-0.461942459620581,-0.48269164432926,0.39456087511662,0.0609102091239985,-0.487098317456204,-0.46068188010699,-0.0250030144340101,-0.169455102803667,-0.470216238369598,-0.468103777617666,-0.489204697592965,-0.468021814394256,0.21173030272269,-0.447732894184812,-0.47279391425719,-0.481178482820195,-0.465400953293765,-0.478782627353527,-0.467035032213415,-0.507844755972148,-0.475598956465175,-0.481249274675152,0.0321323292154701,0.157695861620389,-0.484276321005138,-0.47689457816805,-0.430190808187302,0.0110879858238505,-0.479392448553322,-0.468155846198934,-0.49183710666061,0.343213588531717,-0.482683447993952,-0.496125144883362,-0.481564030811036,0.110543492066592,-0.485823173129834,-0.47838411923348,-0.424423667879639,-0.528517932286693,-0.481526800187198,-0.203170122315345
"Acetate_resistance",-0.506386006134481,-0.493135304762833,-0.499214166622677,-0.507355515308836,-0.486873035639138,-0.512733146057548,-0.402976097758757,-0.502729999503529,-0.502091172106893,-0.0128407433834525,-0.498518340070912,0.543194660946255,-0.37722321938574,-0.461942459620581,-0.509774973021042,-0.0249260337130683,-0.0991966262876544,-0.492022286822864,-0.500794252783351,-0.485058480019794,0.263596826583482,-0.500913342453333,-0.503103483783094,-0.489204697592965,-0.520308404466231,0.115059395276102,-0.492988251540341,-0.491999116779054,-0.50172067327006,-0.498994986738109,-0.501479983098902,-0.499357416589269,0.0112854390216033,-0.491329714687284,-0.498083850063029,-0.152628563773482,-0.473087584861168,-0.509788873896418,-0.506008248500804,-0.501889276218519,-0.158927796808526,-0.489468780576833,-0.497144257854087,-0.49183710666061,-0.0863870937120647,-0.516543057003058,-0.510970977808803,-0.500328914688467,0.294615913245352,-0.509459202705691,-0.360074068240253,0.0517589838877607,-0.528517932286693,-0.50293258728883,-0.504648368331663
"Peroxide_resistance",-0.480599560065641,-0.476875669232618,-0.472141247447698,-0.490607504039223,-0.465868431053534,-0.494121408264178,-0.402976097758757,-0.489537997234754,-0.462406990119063,-0.603514939022268,-0.48313300384598,-0.446387691668705,-0.37722321938574,-0.461942459620581,-0.48269164432926,-0.276618179010881,-0.29933017055222,-0.482174348089544,-0.492771778248078,-0.485058480019794,-0.169455102803667,-0.491320497427166,-0.488785422169964,-0.47940995718414,-0.520308404466231,-0.27162423451025,-0.447732894184812,-0.481024715337988,-0.493503797090114,-0.478321735387743,-0.486348412601985,-0.481400536380461,-0.507844755972148,-0.471666266909647,-0.498083850063029,-0.522150349751387,-0.473087584861168,-0.492780505302231,-0.47689457816805,-0.501889276218519,-0.328943579440903,-0.469316116529812,-0.484260519340686,-0.0567504353839167,-0.301187434833955,-0.508078154750782,-0.503548061346082,-0.500328914688467,-0.418664718822343,-0.509459202705691,-0.596694170226706,-0.424423667879639,-0.492136600621615,-0.493418904132549,-0.504648368331663
"betalactams",3.47761991150141,3.20898046002285,3.327091743441,3.2441990090846,3.58802025396806,3.36781418385994,-0.402976097758757,3.38891066978506,3.22822193474913,1.75918184353299,3.1824233517442,3.51194171879113,3.88972795071526,1.89909677844017,3.13744662413894,1.0937057231661,1.34176489241722,2.98676207072228,2.8044652557488,3.42541297745937,4.3775901557614,3.36692177209723,3.38504569204908,3.0417992197886,2.81296171262218,1.25094255777351,3.12291480116644,3.39431079353812,3.26160861714511,3.41600198773741,3.38355074198446,3.39369421268016,0.78998073151223,3.13067736595331,3.1381844337182,1.41783902663261,0.893609882515539,2.93865785857498,2.7983933342668,2.70064229584251,2.05127737741237,3.1228962498517,3.28101206120096,1.24850957844616,1.84681597638495,3.17415432498958,3.45286641328402,3.06499902202348,1.14595086119712,3.2486694998555,3.18922746155653,4.57549417567806,2.97318524047699,3.30967593759076,3.11309058386416
"Aminoglycosides",1.20841265744343,1.10945502218392,1.1732906179649,1.04183552713042,0.983449285353148,1.17628205869071,0.671626829597929,1.19244229203404,2.03769647511423,2.34985603917181,1.13232729977194,1.03798583725374,0.191703603294393,1.50559023876337,0.939183111989297,1.14963731101006,0.70133755077061,1.1353495888582,1.03550962072128,0.895107916737557,0.480122791277057,1.20661307220441,1.20710943111854,1.14161958047647,0.969859412585061,1.05760074288033,1.32627711415193,1.09654549181512,1.0964617437294,1.0657117248427,1.37483475851877,1.09880492199458,2.08780621899661,0.948034662635686,1.16433046948973,1.14069768714918,0.683348733688353,1.32286284212722,0.87689109230502,1.15912523317134,0.181103768456227,0.971599362832196,1.00059034432886,3.85902960610632,0.128413247409826,1.07485856642496,0.966189398272606,0.958640806781817,1.83622244061747,1.23960698590769,2.89345233407347,1.95648959095736,1.21778598763701,1.14769144032591,2.05791672280704
"Multi-drug_resistance",1.04509849900744,0.904177123614963,0.950691060303966,1.05439653558263,0.899430867010732,1.0320410907921,-0.402976097758757,0.918708244956962,1.04559192541848,1.16850764789418,1.03232261430988,0.0484034846387754,0.191703603294393,1.11208369908658,1.13328030094707,0.0869371419748485,0.0609102091239984,1.00240241595838,1.2601389077089,0.435052451151773,1.12970068535778,0.913072014403694,0.903248345773223,1.15141432088529,1.12671918280099,0.235898029584337,0.968759791043251,0.964852674522336,1.00196766766002,0.931335591065324,1.08733491907735,0.938988688136199,0.530415634015355,0.951967352191213,1.10540945563217,0.447844338440613,0.57821815927476,1.01246011528331,0.993345773636037,1.1352257438276,0.436127442404792,1.08243901509081,0.941003053704378,0.595879571531123,-0.515987775955846,1.08755591980337,1.20372272507967,1.03370034229154,-0.0505198764648225,1.14506286760427,0.941336492685235,-0.424423667879639,0.826686672237435,0.981201985090997,0.399786369717292
"MLS",0.4520102394241,0.362528015014698,0.410736727869667,0.556143200311624,0.495092228737853,0.473688956991023,0.134325365919586,0.384432153071581,0.0534873757227275,-0.603514939022268,0.478450510212304,0.543194660946255,0.760630425974525,-0.461942459620581,0.582585950880833,-0.360515560776819,-0.439423651537417,0.379520291075919,0.357610522490775,0.895107916737557,0.696648755970631,0.452615453147674,0.429161416805143,0.563729896355768,0.65613987215321,-0.489133776265072,0.484527467339089,0.377722197425354,0.340509135174384,0.384786508490028,0.478289206576454,0.425421914164309,1.04954582900911,0.385660056195291,0.486738810127721,-0.429769903256911,-0.473087584861168,0.480948596714971,0.600311224143855,0.645286212280952,-0.158927796808526,0.31663778130401,0.38539183031393,0.81342290716947,0.343213588531717,0.469618055387176,0.446585245882161,0.494209930815392,-0.303619455585618,0.672342276087136,0.527251314208943,0.0517589838877607,0.699352011409665,0.438922045182983,0.399786369717292
"Tetracyclines",0.194145778735692,0.00379980612934373,0.0708211871171545,0.0160198368665871,0.0592466835865683,0.0781895288819263,1.74622975695462,0.0777181003225651,2.95043266083432,2.0545189413524,0.0668927661953587,-0.446387691668705,0.191703603294393,-0.461942459620581,-0.0493583852607476,-0.220686591166923,-0.259303461699307,0.0200705273097546,0.128969998235517,1.81521884790912,0.263596826583482,0.0995987561847258,0.040982857515843,0.103377097140973,0.381635274275341,-0.344127415095191,0.0410249652549033,0.0237977509510054,0.126870354495794,0.104405537050692,0.115131514650453,0.0447360537375937,1.04954582900911,0.0454824096421846,0.10796086390051,0.309273668698898,0.262826436033982,0.132277040534139,0.0835435757374684,0.167296425406173,-0.328943579440903,0.1151111408338,0.00210060954022884,0.81342290716947,0.343213588531717,0.245298145701844,0.0605935898206869,0.0110141709715356,-0.257601350290928,0.317801832449288,1.65119679864459,1.00412428742256,0.217299366847391,0.0464826149863945,1.45496023077441
