"Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet","SampleBinary","is.neg","SampleID"
"AMC66","373",2019-12-26,2019-09-25,"13","1","MR+A","Sample",FALSE,"AMC66"
"AMC65","371",2019-12-26,2019-09-25,"13","3","MR","Sample",FALSE,"AMC65"
"AMC68","384",2019-12-26,2019-09-26,"13","3","MR","Sample",FALSE,"AMC68"
"AMC60","399",2019-12-13,2019-09-28,"11","3","MR","Sample",FALSE,"AMC60"
"AMC69","396",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE,"AMC69"
"AMC6","384",2019-10-03,2019-09-26,"1","3","MR","Sample",FALSE,"AMC6"
"AMC64","369",2019-12-26,2019-09-25,"13","1","MR+A","Sample",FALSE,"AMC64"
"AMC62","363",2019-12-24,2019-09-24,"13","1","MR+A","Sample",FALSE,"AMC62"
"AMC67","387",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE,"AMC67"
"AMC38","369",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE,"AMC38"
"AMC30","399",2019-11-01,2019-09-28,"5","3","MR","Sample",FALSE,"AMC30"
"AMC32","363",2019-11-12,2019-09-24,"7","1","MR+A","Sample",FALSE,"AMC32"
"AMC33","365",2019-11-12,2019-09-24,"7","3","MR","Sample",FALSE,"AMC33"
"AMC36","373",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE,"AMC36"
"AMC37","371",2019-11-13,2019-09-25,"7","3","MR","Sample",FALSE,"AMC37"
"AMC35","387",2019-11-15,2019-09-27,"7","1","MR+A","Sample",FALSE,"AMC35"
"AMC47","384",2019-11-28,2019-09-26,"9","3","MR","Sample",FALSE,"AMC47"
"AMC49","396",2019-11-29,2019-09-27,"9","1","MR+A","Sample",FALSE,"AMC49"
"AMC46","373",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE,"AMC46"
"AMC45","371",2019-11-27,2019-09-25,"9","3","MR","Sample",FALSE,"AMC45"
"AMC44","369",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE,"AMC44"
"AMC40","399",2019-11-15,2019-09-28,"7","3","MR","Sample",FALSE,"AMC40"
"AMC4","369",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE,"AMC4"
"AMC43","365",2019-11-26,2019-09-24,"9","3","MR","Sample",FALSE,"AMC43"
"AMC42","363",2019-11-26,2019-09-24,"9","1","MR+A","Sample",FALSE,"AMC42"
"AMC10","373",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE,"AMC10"
"AMC1","361",2019-10-01,2019-09-24,"1","3","MR","Sample",FALSE,"AMC1"
"AMC97","378",2019-12-26,2019-09-26,"13","1","MR+A","Sample",FALSE,"AMC97"
"AMC91","378",2019-10-03,2019-09-26,"1","1","MR+A","Sample",FALSE,"AMC91"
"AMC95","378",2019-11-28,2019-09-26,"9","1","MR+A","Sample",FALSE,"AMC95"
"AMC93","378",2019-10-31,2019-09-26,"5","1","MR+A","Sample",FALSE,"AMC93"
"AMC9","399",2019-10-04,2019-09-28,"1","3","MR","Sample",FALSE,"AMC9"
"AMC94","378",2019-11-14,2019-09-26,"7","1","MR+A","Sample",FALSE,"AMC94"
"AMC96","378",2019-12-12,2019-09-26,"11","1","MR+A","Sample",FALSE,"AMC96"
"AMC53","365",2019-12-10,2019-09-24,"11","3","MR","Sample",FALSE,"AMC53"
"AMC5","371",2019-10-02,2019-09-25,"1","3","MR","Sample",FALSE,"AMC5"
"AMC57","384",2019-12-12,2019-09-26,"11","3","MR","Sample",FALSE,"AMC57"
"AMC55","371",2019-12-11,2019-09-25,"11","3","MR","Sample",FALSE,"AMC55"
"AMC59","396",2019-12-13,2019-09-27,"11","1","MR+A","Sample",FALSE,"AMC59"
"AMC50","399",2019-11-29,2019-09-28,"9","3","MR","Sample",FALSE,"AMC50"
"AMC52","363",2019-12-12,2019-09-24,"11","1","MR+A","Sample",FALSE,"AMC52"
"AMC54","369",2019-12-11,2019-09-25,"11","1","MR+A","Sample",FALSE,"AMC54"
"AMC22","363",2019-10-29,2019-09-24,"5","1","MR+A","Sample",FALSE,"AMC22"
"AMC28","387",2019-11-01,2019-09-27,"5","1","MR+A","Sample",FALSE,"AMC28"
"AMC25","371",2019-10-30,2019-09-25,"5","3","MR","Sample",FALSE,"AMC25"
"AMC26","373",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE,"AMC26"
"AMC24","369",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE,"AMC24"
"AMC21","361",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE,"AMC21"
"AMC23","365",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE,"AMC23"
"AMC27","384",2019-10-31,2019-09-26,"5","3","MR","Sample",FALSE,"AMC27"
