"","freq","prev","p.freq","p.prev","p","contaminant"
"AAC2-PRIME",0.00144475472909455,49,NA,0.894871794871795,0.894871794871795,FALSE
"AAC3",0.00985196074949655,64,NA,0.703296703296703,0.703296703296703,FALSE
"AAC6-PRIME",0.0103638771723442,74,NA,0.813186813186813,0.813186813186813,FALSE
"ABCA",0.000117854535700794,28,NA,0.761538461538461,0.761538461538461,FALSE
"ACC",0.000125188513255029,22,NA,0.713553113553114,0.713553113553114,FALSE
"ACN",0.00761323136524983,61,NA,0.946886446886447,0.946886446886447,FALSE
"ACRA",0.00183501856905434,51,NA,0.904761904761905,0.904761904761905,FALSE
"ACRB",0.00455854966773934,70,NA,0.974358974358974,0.974358974358974,FALSE
"ACRC",0.000866550469718001,49,NA,0.894871794871795,0.894871794871795,FALSE
"ACRD",0.00675955758413093,74,NA,0.983394383394383,0.983394383394383,FALSE
"ACRE",0.00260138950249494,34,NA,0.0684981684981686,0.0684981684981686,TRUE
"ACRF",0.00503707106382679,55,NA,0.604395604395604,0.604395604395604,FALSE
"ACRS",0.000786768179538471,20,NA,0.21978021978022,0.21978021978022,TRUE
"ACT",0.00114285339650963,52,NA,0.571428571428571,0.571428571428571,FALSE
"ACTA",0.00100486425293204,46,NA,0.505494505494505,0.505494505494505,FALSE
"ACTP",0.00346807373137321,50,NA,0.54945054945055,0.54945054945055,FALSE
"ACTP1",0.00137928500753831,53,NA,0.914163614163614,0.914163614163614,FALSE
"ACTPC",0.0039787570480917,53,NA,0.914163614163614,0.914163614163614,FALSE
"ACTR",0.0006225312986918,42,NA,0.856410256410256,0.856410256410256,FALSE
"ACTS",0.000566681218143712,45,NA,0.873626373626374,0.873626373626374,FALSE
"ADC",0.000308049688578446,35,NA,0.811965811965812,0.811965811965812,FALSE
"ADEB",1.8740626982886e-05,7,NA,0.574358974358974,0.574358974358974,FALSE
"ADED",7.39748516650538e-06,4,NA,0.543223443223443,0.543223443223443,FALSE
"ADEE",5.08340114429955e-05,16,NA,0.661172161172161,0.661172161172161,FALSE
"ADEG",0.000315371789993908,20,NA,0.696581196581197,0.696581196581197,FALSE
"ADEJ",0.000122937406595315,23,NA,0.721855921855922,0.721855921855922,FALSE
"ADEK",3.01248482350646e-05,4,NA,0.543223443223443,0.543223443223443,FALSE
"AER",6.95746876351246e-05,21,NA,0.705128205128205,0.705128205128205,FALSE
"AFM",0.000644553956543969,44,NA,0.868009768009768,0.868009768009768,FALSE
"AIM",0.000369954411510024,40,NA,0.844322344322344,0.844322344322344,FALSE
"AIOA",2.12964041526207e-05,5,NA,0.553724053724054,0.553724053724054,FALSE
"AIOE",0.000319882251785276,39,NA,0.838095238095238,0.838095238095238,FALSE
"AIOR",0.000495822068640733,37,NA,0.825274725274725,0.825274725274725,FALSE
"AIOS",0.000116434240296147,26,NA,0.746031746031746,0.746031746031746,FALSE
"AIOX",0.000515608513548804,38,NA,0.831746031746032,0.831746031746032,FALSE
"ALG",0.00161080208361135,51,NA,0.56043956043956,0.56043956043956,FALSE
"ALI",4.34538817043341e-06,2,NA,0.521855921855922,0.521855921855922,FALSE
"ALU1P",6.27612160055521e-06,4,NA,0.543223443223443,0.543223443223443,FALSE
