"SampleID","PC1","PC2","Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet","SampleBinary","is.neg"
"AMC1",21.7892426514792,-2.82513379252774,"AMC1","361",2019-10-01,2019-09-24,"1","3","MR","Sample",FALSE
"AMC2",-35.1626030707507,39.7159238251555,"AMC2","363",2019-10-01,2019-09-24,"1","1","MR+A","Sample",FALSE
"AMC21",-40.7378221555499,3.53985659855091,"AMC21","361",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE
"AMC22",20.4059584942409,-1.50851411273589,"AMC22","363",2019-10-29,2019-09-24,"5","1","MR+A","Sample",FALSE
"AMC23",23.0960283837066,0.655796160500912,"AMC23","365",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE
"AMC24",27.4565538681601,2.11019516105683,"AMC24","369",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE
"AMC25",19.5386996520754,-1.41250119591455,"AMC25","371",2019-10-30,2019-09-25,"5","3","MR","Sample",FALSE
"AMC26",-37.3841942468295,19.0286321601799,"AMC26","373",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE
"AMC27",17.0356933597187,-1.40289529663504,"AMC27","384",2019-10-31,2019-09-26,"5","3","MR","Sample",FALSE
"AMC28",20.0482616308597,1.37479597114335,"AMC28","387",2019-11-01,2019-09-27,"5","1","MR+A","Sample",FALSE
"AMC30",14.5370068884656,3.74012959679116,"AMC30","399",2019-11-01,2019-09-28,"5","3","MR","Sample",FALSE
"AMC32",22.8075781911802,-1.17416782823964,"AMC32","363",2019-11-12,2019-09-24,"7","1","MR+A","Sample",FALSE
"AMC33",18.847178847898,0.797934130391817,"AMC33","365",2019-11-12,2019-09-24,"7","3","MR","Sample",FALSE
"AMC34",-49.4268819297837,-18.70659362108,"AMC34","384",2019-11-14,2019-09-26,"7","3","MR","Sample",FALSE
"AMC35",14.7204655332841,0.177851627737115,"AMC35","387",2019-11-15,2019-09-27,"7","1","MR+A","Sample",FALSE
"AMC36",23.4662922109648,-0.487347863221732,"AMC36","373",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE
"AMC37",-39.8314906618343,-2.85803291698618,"AMC37","371",2019-11-13,2019-09-25,"7","3","MR","Sample",FALSE
"AMC38",15.9595118319413,0.914696170400837,"AMC38","369",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE
"AMC4",18.44928878208,0.385912741330234,"AMC4","369",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE
"AMC40",12.2472571253084,-1.84842010293846,"AMC40","399",2019-11-15,2019-09-28,"7","3","MR","Sample",FALSE
"AMC42",21.2421372410301,2.7081203257579,"AMC42","363",2019-11-26,2019-09-24,"9","1","MR+A","Sample",FALSE
"AMC43",20.8977988386388,0.675560927732866,"AMC43","365",2019-11-26,2019-09-24,"9","3","MR","Sample",FALSE
"AMC44",17.1702656879365,-0.247411216813656,"AMC44","369",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE
"AMC45",19.390747945857,-1.87120342019232,"AMC45","371",2019-11-27,2019-09-25,"9","3","MR","Sample",FALSE
"AMC46",-47.1168132590185,7.62464547993632,"AMC46","373",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE
"AMC47",18.8808082746389,-0.963270647892287,"AMC47","384",2019-11-28,2019-09-26,"9","3","MR","Sample",FALSE
"AMC48",-49.7689492966047,-6.71391429637968,"AMC48","387",2019-11-29,2019-09-27,"9","1","MR+A","Sample",FALSE
"AMC49",-51.0147629291056,-4.52716770881809,"AMC49","396",2019-11-29,2019-09-27,"9","1","MR+A","Sample",FALSE
"AMC5",-30.8198062048806,23.8053375803491,"AMC5","371",2019-10-02,2019-09-25,"1","3","MR","Sample",FALSE
"AMC50",-49.4235340917676,-13.1681050082903,"AMC50","399",2019-11-29,2019-09-28,"9","3","MR","Sample",FALSE
"AMC51",-47.8265547209067,-3.81718409372818,"AMC51","361",2019-12-10,2019-09-24,"11","3","MR","Sample",FALSE
"AMC52",11.7423282112863,-1.11688863724157,"AMC52","363",2019-12-12,2019-09-24,"11","1","MR+A","Sample",FALSE
"AMC53",15.6976530023166,-3.51168014353131,"AMC53","365",2019-12-10,2019-09-24,"11","3","MR","Sample",FALSE
"AMC54",15.8604414905152,-1.6646892949114,"AMC54","369",2019-12-11,2019-09-25,"11","1","MR+A","Sample",FALSE
"AMC55",14.6805668500874,-1.17939201094383,"AMC55","371",2019-12-11,2019-09-25,"11","3","MR","Sample",FALSE
"AMC57",23.4286255031581,0.151948631766118,"AMC57","384",2019-12-12,2019-09-26,"11","3","MR","Sample",FALSE
"AMC58",-46.4579225704202,0.253100131992715,"AMC58","387",2019-12-13,2019-09-27,"11","1","MR+A","Sample",FALSE
"AMC59",17.946935468954,-0.743324129170051,"AMC59","396",2019-12-13,2019-09-27,"11","1","MR+A","Sample",FALSE
"AMC6",22.3118114615935,0.619231967505891,"AMC6","384",2019-10-03,2019-09-26,"1","3","MR","Sample",FALSE
"AMC60",16.3655994888722,-3.26154039600638,"AMC60","399",2019-12-13,2019-09-28,"11","3","MR","Sample",FALSE
"AMC65",-45.802973424501,-9.2306972845681,"AMC65","371",2019-12-26,2019-09-25,"13","3","MR","Sample",FALSE
"AMC66",18.8445063891001,0.318642044302797,"AMC66","373",2019-12-26,2019-09-25,"13","1","MR+A","Sample",FALSE
"AMC67",-36.6317171643578,0.282670954057843,"AMC67","387",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE
"AMC68",-41.3205326905214,-4.80696035490782,"AMC68","384",2019-12-26,2019-09-26,"13","3","MR","Sample",FALSE
"AMC69",12.390871369626,-6.82240800422962,"AMC69","396",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE
"AMC70",-35.6124499679589,-14.454316403795,"AMC70","399",2019-12-27,2019-09-28,"13","3","MR","Sample",FALSE
"AMC9",18.3144729959376,1.47039182573342,"AMC9","399",2019-10-04,2019-09-28,"1","3","MR","Sample",FALSE
"AMC91",21.3563588859843,1.49036255746813,"AMC91","378",2019-10-03,2019-09-26,"1","1","MR+A","Sample",FALSE
"AMC93",19.384572364198,-0.621223306967224,"AMC93","378",2019-10-31,2019-09-26,"5","1","MR+A","Sample",FALSE
"AMC94",15.8118693494244,-0.0545598465296588,"AMC94","378",2019-11-14,2019-09-26,"7","1","MR+A","Sample",FALSE
"AMC95",17.2270737089986,-0.3137391433763,"AMC95","378",2019-11-28,2019-09-26,"9","1","MR+A","Sample",FALSE
"AMC96",17.2333464195564,-0.331291337505191,"AMC96","378",2019-12-12,2019-09-26,"11","1","MR+A","Sample",FALSE
"AMC97",17.7551999857178,-0.197163153764386,"AMC97","378",2019-12-26,2019-09-26,"13","1","MR+A","Sample",FALSE
