"ID","Observed","Shannon","Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet","SampleBinary","is.neg"
"AMC1",746,4.25008095912296,"AMC1","361",2019-10-01,2019-09-24,"1","3","MR","Sample",FALSE
"AMC21",350,3.28796330494296,"AMC21","361",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE
"AMC22",754,4.31000408742888,"AMC22","363",2019-10-29,2019-09-24,"5","1","MR+A","Sample",FALSE
"AMC23",737,4.25657072053478,"AMC23","365",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE
"AMC24",708,3.89892491216335,"AMC24","369",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE
"AMC25",748,4.2813287792013,"AMC25","371",2019-10-30,2019-09-25,"5","3","MR","Sample",FALSE
"AMC26",170,3.03198350310535,"AMC26","373",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE
"AMC27",767,4.33061787127472,"AMC27","384",2019-10-31,2019-09-26,"5","3","MR","Sample",FALSE
"AMC28",756,4.11183865444246,"AMC28","387",2019-11-01,2019-09-27,"5","1","MR+A","Sample",FALSE
"AMC2",164,3.68260798770049,"AMC2","363",2019-10-01,2019-09-24,"1","1","MR+A","Sample",FALSE
"AMC30",761,4.04792190801256,"AMC30","399",2019-11-01,2019-09-28,"5","3","MR","Sample",FALSE
"AMC32",746,4.05789787946419,"AMC32","363",2019-11-12,2019-09-24,"7","1","MR+A","Sample",FALSE
"AMC33",752,4.07625191373853,"AMC33","365",2019-11-12,2019-09-24,"7","3","MR","Sample",FALSE
"AMC34",110,3.44683566158244,"AMC34","384",2019-11-14,2019-09-26,"7","3","MR","Sample",FALSE
"AMC35",765,4.11438714195373,"AMC35","387",2019-11-15,2019-09-27,"7","1","MR+A","Sample",FALSE
"AMC36",753,4.083994400383,"AMC36","373",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE
"AMC37",361,3.33444502245602,"AMC37","371",2019-11-13,2019-09-25,"7","3","MR","Sample",FALSE
"AMC38",771,4.15605440189074,"AMC38","369",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE
"AMC40",771,4.16171157274155,"AMC40","399",2019-11-15,2019-09-28,"7","3","MR","Sample",FALSE
"AMC42",716,3.87933907182115,"AMC42","363",2019-11-26,2019-09-24,"9","1","MR+A","Sample",FALSE
"AMC43",750,4.09099084152068,"AMC43","365",2019-11-26,2019-09-24,"9","3","MR","Sample",FALSE
"AMC44",766,4.23755485477736,"AMC44","369",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE
