"ID","Observed","Shannon","Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet","SampleBinary","is.neg"
"AMC10",45,3.03014025449256,"AMC10","373",2019-10-02,2019-09-25,"1","1","Ab","Sample",FALSE
"AMC1",741,4.25112976788509,"AMC1","361",2019-10-01,2019-09-24,"1","3","No","Sample",FALSE
"AMC21",323,3.05488081369824,"AMC21","361",2019-10-29,2019-09-24,"5","3","No","Sample",FALSE
"AMC22",748,4.31324241161258,"AMC22","363",2019-10-29,2019-09-24,"5","1","Ab","Sample",FALSE
"AMC23",738,4.25920937322113,"AMC23","365",2019-10-29,2019-09-24,"5","3","No","Sample",FALSE
"AMC24",713,3.90719868552409,"AMC24","369",2019-10-30,2019-09-25,"5","1","Ab","Sample",FALSE
"AMC25",746,4.28573850377246,"AMC25","371",2019-10-30,2019-09-25,"5","3","No","Sample",FALSE
"AMC26",154,2.86866626493463,"AMC26","373",2019-10-30,2019-09-25,"5","1","Ab","Sample",FALSE
"AMC27",756,4.33441037298184,"AMC27","384",2019-10-31,2019-09-26,"5","3","No","Sample",FALSE
"AMC28",752,4.11558506241717,"AMC28","387",2019-11-01,2019-09-27,"5","1","Ab","Sample",FALSE
"AMC29",70,3.04435844810119,"AMC29","396",2019-11-01,2019-09-27,"5","1","Ab","Sample",FALSE
"AMC2",146,3.73197202077745,"AMC2","363",2019-10-01,2019-09-24,"1","1","Ab","Sample",FALSE
"AMC30",749,4.0491260624919,"AMC30","399",2019-11-01,2019-09-28,"5","3","No","Sample",FALSE
"AMC31",107,3.57575083723405,"AMC31","361",2019-11-12,2019-09-24,"7","3","No","Sample",FALSE
"AMC32",739,4.05955490972674,"AMC32","363",2019-11-12,2019-09-24,"7","1","Ab","Sample",FALSE
"AMC33",746,4.07732562795965,"AMC33","365",2019-11-12,2019-09-24,"7","3","No","Sample",FALSE
"AMC34",89,3.10796275052985,"AMC34","384",2019-11-14,2019-09-26,"7","3","No","Sample",FALSE
"AMC35",751,4.11058333158311,"AMC35","387",2019-11-15,2019-09-27,"7","1","Ab","Sample",FALSE
"AMC36",750,4.08897224158611,"AMC36","373",2019-11-13,2019-09-25,"7","1","Ab","Sample",FALSE
"AMC37",330,3.07537071532981,"AMC37","371",2019-11-13,2019-09-25,"7","3","No","Sample",FALSE
"AMC38",755,4.15909801635162,"AMC38","369",2019-11-13,2019-09-25,"7","1","Ab","Sample",FALSE
"AMC39",78,3.10591574028274,"AMC39","396",2019-11-15,2019-09-27,"7","1","Ab","Sample",FALSE
"AMC3",93,3.11659141179854,"AMC3","365",2019-10-01,2019-09-24,"1","3","No","Sample",FALSE
"AMC40",753,4.15849735686087,"AMC40","399",2019-11-15,2019-09-28,"7","3","No","Sample",FALSE
"AMC41",51,2.98860499732963,"AMC41","361",2019-11-26,2019-09-24,"9","3","No","Sample",FALSE
"AMC42",717,3.88370945388431,"AMC42","363",2019-11-26,2019-09-24,"9","1","Ab","Sample",FALSE
"AMC43",747,4.09455751903627,"AMC43","365",2019-11-26,2019-09-24,"9","3","No","Sample",FALSE
"AMC44",751,4.23485840287157,"AMC44","369",2019-11-27,2019-09-25,"9","1","Ab","Sample",FALSE
"AMC45",751,4.13040991441284,"AMC45","371",2019-11-27,2019-09-25,"9","3","No","Sample",FALSE
"AMC46",118,3.25863077070082,"AMC46","373",2019-11-27,2019-09-25,"9","1","Ab","Sample",FALSE
"AMC47",749,4.11353665727345,"AMC47","384",2019-11-28,2019-09-26,"9","3","No","Sample",FALSE
"AMC48",107,3.34389996077221,"AMC48","387",2019-11-29,2019-09-27,"9","1","Ab","Sample",FALSE
"AMC49",101,3.47993096655835,"AMC49","396",2019-11-29,2019-09-27,"9","1","Ab","Sample",FALSE
"AMC4",753,4.35792820538114,"AMC4","369",2019-10-02,2019-09-25,"1","1","Ab","Sample",FALSE
"AMC50",116,3.32205246243308,"AMC50","399",2019-11-29,2019-09-28,"9","3","No","Sample",FALSE
"AMC51",112,3.09537481493874,"AMC51","361",2019-12-10,2019-09-24,"11","3","No","Sample",FALSE
"AMC52",749,4.06729593286175,"AMC52","363",2019-12-12,2019-09-24,"11","1","Ab","Sample",FALSE
"AMC53",746,4.2961389238432,"AMC53","365",2019-12-10,2019-09-24,"11","3","No","Sample",FALSE
"AMC54",756,4.20001533609452,"AMC54","369",2019-12-11,2019-09-25,"11","1","Ab","Sample",FALSE
"AMC55",742,4.02756406959673,"AMC55","371",2019-12-11,2019-09-25,"11","3","No","Sample",FALSE
"AMC56",63,3.27363645125248,"AMC56","373",2019-12-11,2019-09-25,"11","1","Ab","Sample",FALSE
"AMC57",746,4.02259538945709,"AMC57","384",2019-12-12,2019-09-26,"11","3","No","Sample",FALSE
"AMC58",95,2.55874258717398,"AMC58","387",2019-12-13,2019-09-27,"11","1","Ab","Sample",FALSE
"AMC59",711,4.06875274768934,"AMC59","396",2019-12-13,2019-09-27,"11","1","Ab","Sample",FALSE
"AMC5",115,1.9605988003841,"AMC5","371",2019-10-02,2019-09-25,"1","3","No","Sample",FALSE
"AMC60",755,4.38270648332908,"AMC60","399",2019-12-13,2019-09-28,"11","3","No","Sample",FALSE
"AMC6",755,4.1902826781552,"AMC6","384",2019-10-03,2019-09-26,"1","3","No","Sample",FALSE
"AMC7",58,2.82739645924122,"AMC7","387",2019-10-04,2019-09-27,"1","1","Ab","Sample",FALSE
"AMC8",88,3.10431004341463,"AMC8","396",2019-10-04,2019-09-27,"1","1","Ab","Sample",FALSE
"AMC91",755,4.19444091876841,"AMC91","378",2019-10-03,2019-09-26,"1","1","Ab","Sample",FALSE
"AMC93",756,4.17880053717533,"AMC93","378",2019-10-31,2019-09-26,"5","1","Ab","Sample",FALSE
"AMC94",754,4.13133387580321,"AMC94","378",2019-11-14,2019-09-26,"7","1","Ab","Sample",FALSE
"AMC95",754,4.13783019332031,"AMC95","378",2019-11-28,2019-09-26,"9","1","Ab","Sample",FALSE
"AMC96",756,4.19791040453421,"AMC96","378",2019-12-12,2019-09-26,"11","1","Ab","Sample",FALSE
"AMC9",750,4.26007735193234,"AMC9","399",2019-10-04,2019-09-28,"1","3","No","Sample",FALSE
