"Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet","SampleBinary","is.neg","SampleID"
"AMC1","361",2019-10-01,2019-09-24,"1","3","MR","Sample",FALSE,"AMC1"
"AMC21","361",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE,"AMC21"
"AMC22","363",2019-10-29,2019-09-24,"5","1","MR+A","Sample",FALSE,"AMC22"
"AMC23","365",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE,"AMC23"
"AMC24","369",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE,"AMC24"
"AMC25","371",2019-10-30,2019-09-25,"5","3","MR","Sample",FALSE,"AMC25"
"AMC26","373",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE,"AMC26"
"AMC27","384",2019-10-31,2019-09-26,"5","3","MR","Sample",FALSE,"AMC27"
"AMC28","387",2019-11-01,2019-09-27,"5","1","MR+A","Sample",FALSE,"AMC28"
"AMC2","363",2019-10-01,2019-09-24,"1","1","MR+A","Sample",FALSE,"AMC2"
"AMC30","399",2019-11-01,2019-09-28,"5","3","MR","Sample",FALSE,"AMC30"
"AMC32","363",2019-11-12,2019-09-24,"7","1","MR+A","Sample",FALSE,"AMC32"
"AMC33","365",2019-11-12,2019-09-24,"7","3","MR","Sample",FALSE,"AMC33"
"AMC34","384",2019-11-14,2019-09-26,"7","3","MR","Sample",FALSE,"AMC34"
"AMC35","387",2019-11-15,2019-09-27,"7","1","MR+A","Sample",FALSE,"AMC35"
"AMC36","373",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE,"AMC36"
"AMC37","371",2019-11-13,2019-09-25,"7","3","MR","Sample",FALSE,"AMC37"
"AMC38","369",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE,"AMC38"
"AMC40","399",2019-11-15,2019-09-28,"7","3","MR","Sample",FALSE,"AMC40"
"AMC42","363",2019-11-26,2019-09-24,"9","1","MR+A","Sample",FALSE,"AMC42"
"AMC43","365",2019-11-26,2019-09-24,"9","3","MR","Sample",FALSE,"AMC43"
"AMC44","369",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE,"AMC44"
"AMC45","371",2019-11-27,2019-09-25,"9","3","MR","Sample",FALSE,"AMC45"
"AMC46","373",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE,"AMC46"
"AMC47","384",2019-11-28,2019-09-26,"9","3","MR","Sample",FALSE,"AMC47"
"AMC48","387",2019-11-29,2019-09-27,"9","1","MR+A","Sample",FALSE,"AMC48"
"AMC49","396",2019-11-29,2019-09-27,"9","1","MR+A","Sample",FALSE,"AMC49"
"AMC4","369",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE,"AMC4"
"AMC50","399",2019-11-29,2019-09-28,"9","3","MR","Sample",FALSE,"AMC50"
"AMC51","361",2019-12-10,2019-09-24,"11","3","MR","Sample",FALSE,"AMC51"
"AMC52","363",2019-12-12,2019-09-24,"11","1","MR+A","Sample",FALSE,"AMC52"
"AMC53","365",2019-12-10,2019-09-24,"11","3","MR","Sample",FALSE,"AMC53"
"AMC54","369",2019-12-11,2019-09-25,"11","1","MR+A","Sample",FALSE,"AMC54"
"AMC55","371",2019-12-11,2019-09-25,"11","3","MR","Sample",FALSE,"AMC55"
"AMC57","384",2019-12-12,2019-09-26,"11","3","MR","Sample",FALSE,"AMC57"
"AMC58","387",2019-12-13,2019-09-27,"11","1","MR+A","Sample",FALSE,"AMC58"
"AMC59","396",2019-12-13,2019-09-27,"11","1","MR+A","Sample",FALSE,"AMC59"
"AMC5","371",2019-10-02,2019-09-25,"1","3","MR","Sample",FALSE,"AMC5"
"AMC60","399",2019-12-13,2019-09-28,"11","3","MR","Sample",FALSE,"AMC60"
"AMC65","371",2019-12-26,2019-09-25,"13","3","MR","Sample",FALSE,"AMC65"
"AMC66","373",2019-12-26,2019-09-25,"13","1","MR+A","Sample",FALSE,"AMC66"
"AMC67","387",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE,"AMC67"
"AMC68","384",2019-12-26,2019-09-26,"13","3","MR","Sample",FALSE,"AMC68"
"AMC69","396",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE,"AMC69"
"AMC6","384",2019-10-03,2019-09-26,"1","3","MR","Sample",FALSE,"AMC6"
"AMC70","399",2019-12-27,2019-09-28,"13","3","MR","Sample",FALSE,"AMC70"
"AMC91","378",2019-10-03,2019-09-26,"1","1","MR+A","Sample",FALSE,"AMC91"
"AMC93","378",2019-10-31,2019-09-26,"5","1","MR+A","Sample",FALSE,"AMC93"
"AMC94","378",2019-11-14,2019-09-26,"7","1","MR+A","Sample",FALSE,"AMC94"
"AMC95","378",2019-11-28,2019-09-26,"9","1","MR+A","Sample",FALSE,"AMC95"
"AMC96","378",2019-12-12,2019-09-26,"11","1","MR+A","Sample",FALSE,"AMC96"
"AMC97","378",2019-12-26,2019-09-26,"13","1","MR+A","Sample",FALSE,"AMC97"
"AMC9","399",2019-10-04,2019-09-28,"1","3","MR","Sample",FALSE,"AMC9"
