"","AMC1","AMC21","AMC22","AMC23","AMC24","AMC25","AMC26","AMC27","AMC28","AMC2","AMC30","AMC32","AMC33","AMC34","AMC35","AMC36","AMC37","AMC38","AMC40","AMC42","AMC43","AMC44","AMC45","AMC46","AMC47","AMC48","AMC49","AMC4","AMC50","AMC51","AMC52","AMC53","AMC54","AMC55","AMC57","AMC58","AMC59","AMC5","AMC60","AMC65","AMC66","AMC67","AMC68","AMC69","AMC6","AMC70","AMC91","AMC93","AMC94","AMC95","AMC96","AMC97","AMC9"
"g__Klebsiella",0.251067041867091,3.95214088405098,-6.77618782127767,-6.64088466717969,0.567549061804334,-0.777197066542373,6.92161959714002,-1.16841884777439,-1.17608931917507,8.49400564087897,-1.25196015916141,-6.61493721362951,0.284614133372885,-2.78337304583963,-0.800236350924063,-0.389944269128769,2.29227596163181,0.122248984347831,-1.71609951948982,2.10796574326653,-0.31547841075097,-6.8532813837445,-0.270217968543875,8.59824921744003,0.0276914434554474,-3.09266714002843,8.27449176070722,0.54853219324641,7.29091855654566,-3.41510139599432,-0.692580468140243,-6.85925131505551,-1.21437553526943,0.614351403753223,-6.58491136630295,6.02628128609798,-0.245413728796397,10.0747062821467,-2.47335401466163,8.11036111427658,-6.47127320894758,2.16785571656439,3.25064002648425,-0.598482337303859,-0.433361501344258,-2.04995254850051,-0.886831247001288,-0.742295732557585,-0.718459234563696,-1.29375608672525,-1.11687033450727,-1.05621928197457,-0.138897251459355
"g__Denitrificimonas",-6.70444976017119,4.0952178300627,-6.77618782127767,-6.64088466717969,-6.25661932715167,-3.51378898293932,6.74727358543505,-4.48026602257732,-6.72912736343317,6.63513701158305,-3.69620837285545,-6.61493721362951,-3.74393091374873,4.69279051466966,-3.96651858550892,-6.66414186317565,3.15676165731225,-1.43166659642852,-4.98639142375147,-6.43843996153756,-6.76423395435627,-2.76318108525459,-3.78978890951208,7.93901019230494,-3.03977354645996,7.25311325102333,7.85760456777987,-2.3282275418759,6.69888909890367,7.97748875551526,-0.746534194723807,-3.69073803356,-2.82589946939457,0.298714754495101,-6.58491136630295,6.18041409586235,-1.49353332056115,-2.26511942910872,-0.626703078228886,9.31074586198516,-2.06939747800461,5.52295331486662,5.92676403676465,-3.03172036329606,-6.75592674127154,5.59510579234478,-6.79131775369177,-6.85515498918394,-6.90847841320179,-2.45539149797015,-6.90771764959266,-6.92306679784774,-6.87076240243606
"g__Acinetobacter",-1.10946822569341,7.1138676189163,-1.32743846320466,-6.64088466717969,-6.25661932715167,-6.79151994593875,6.88079921600187,-2.61317229231642,-2.26698016525913,7.93439402661201,-0.00189539294715324,-2.65863513506606,-1.48610511061883,6.99486569399834,-1.18484054482642,-6.66414186317565,6.09250308869968,-4.70247963557005,-2.28040234829205,-6.43843996153756,-0.970789570469194,-4.10048276540936,-3.78978890951208,8.20137130004063,-2.6424788221547,7.81271526969022,7.89150547304816,1.69436222698128,7.48381752956574,6.15299811124335,-2.02187737772935,-1.53162255238433,-2.75295695654038,-3.22984430520112,-1.47289055786469,6.71936592004065,-1.49353332056115,10.9116182710075,-3.6511231514976,7.95621287515196,-1.38239631180824,8.12475996485206,6.08352907855817,-6.98084806524649,-2.12119775304191,6.25412044167307,-1.71859875250727,-1.97165756919129,-1.54250583343802,-2.85478481609417,-2.89346836048587,-3.39357550332939,-0.716042427445442
"g__Psychrobacter",-2.79763052004255,6.33223635562499,-2.52142405011812,-2.6914253138344,-6.25661932715167,-1.60073891850564,8.12155732151314,-2.36489973279121,-0.931809752122335,9.07017870766669,-0.519954554238817,-2.65863513506606,-2.39479544868229,6.99486569399834,-0.408924275511612,-3.96013425440958,5.96454543911464,-1.21955429848485,-3.15566478180582,-2.11301877574901,-3.57099445030967,-2.07843789688102,-4.43400614433926,7.62886023822492,-6.75248306234267,8.70000766513215,8.61743280112209,0.75540559534631,6.69888909890367,6.98586771105306,-0.997232733651439,-1.64879882589795,-3.08338358344503,-6.83398522383982,-2.55952704857589,6.31393208573013,-2.18021578441169,11.9123175328706,-3.6511231514976,8.21214239140162,-2.06939747800461,7.23295402238018,6.66035384586065,-4.56689901095216,-2.22332724811829,4.27466469430745,-1.71859875250727,-2.86144031597554,-2.66766906902468,-1.56879723028448,-2.44807088945912,-2.37658078572084,-1.54619488729777
"g__Mannheimia",-6.70444976017119,1.38933997792133,-6.77618782127767,-6.64088466717969,-6.25661932715167,-6.79151994593875,3.70367264957435,-6.90589867453747,-6.72912736343317,9.57073154939468,-3.02503335159292,-3.33282932496112,-6.76732283074181,-2.78337304583963,-2.90413417180194,-6.66414186317565,1.31291844431054,-6.89951692224702,-7.05050846532515,-1.42650755327967,-6.76423395435627,-0.293736112003632,-6.78258986558049,5.63654820407906,-6.75248306234267,-3.09266714002843,5.58908907820826,-6.86780976031429,-3.23803388788524,3.8510421376418,-6.88590649762011,-6.85925131505551,-6.94206483396404,-6.83398522383982,-6.58491136630295,10.4688089172635,-6.53169530768621,4.29229728237011,-6.94937732927164,-3.02110279103233,-6.47127320894758,6.34159269484005,-0.140616304885686,-6.98084806524649,-6.75592674127154,-2.04995254850051,-4.50775855819457,-6.85515498918394,-6.90847841320179,-3.03348091645352,-4.73651598600412,-6.92306679784774,-2.23448343320436
"g__Stenotrophomonas",0.600459431095874,4.0262360539745,0.0043879096909123,0.755471156303801,2.03852758229742,0.00423491945912957,6.00538694538185,0.592495786138766,0.234666771050317,6.09616601556128,0.303201811342254,-0.0738206887333366,-0.656074955517782,5.38565444196081,-0.408924275511612,0.586414039755597,2.98498119878168,0.0859143858706943,-0.238228617944262,0.0723779250149565,0.299979518061201,-0.157784239530637,0.262278894569825,-3.26062762343749,0.114608142910878,6.27233754336479,6.28214254108494,0.0311213806650734,5.23271320334645,5.92987204081329,-0.0270959306752658,-0.298311764428053,-0.252753665362277,-0.120722537638141,0.0863105191472275,4.92791914478552,-0.112115071948228,6.08287309461914,-0.122858601031085,4.77855192026306,1.28599603022873,3.79329243536414,3.10759218211111,-0.302650235071908,-0.0876984928541393,3.98757966088804,0.0539544469688114,-0.296080085962219,-0.334701937208459,0.435671497470777,0.0560008847226703,-0.203250434118278,0.351760507836934
"g__Novosphingobium",2.95822704315202,2.77388907408888,2.88340056949047,3.02897765363198,3.26019636074719,2.91552729973301,6.41081978717537,2.72431240613058,2.85924102242142,4.84355606167263,2.70355716199884,3.08886403394657,2.72984795693113,-2.78337304583963,2.64947301240224,2.88934966582398,3.04557981784349,2.54275569708902,2.44787130329189,3.027034056586,2.83921743159692,2.79310851595638,2.6787255644322,7.53355192374816,2.77622666107212,5.17389658056247,7.2629132160842,2.79284703849077,5.52034289734574,3.8510421376418,2.55745878690192,2.89966168596066,2.52550817537893,2.73908948177287,2.90732741049754,5.33325918703757,3.23182024873854,4.69728909579865,2.74476687764024,6.85763475569527,3.08882696932203,1.98566619859887,2.2479327936462,2.49094456323194,2.76490850122158,3.58330756254073,2.62188508692455,2.58874483797702,2.52800326513551,2.53264702971415,2.72673023365239,2.60545554256691,2.88573220974621
"g__Sphingomonas",5.09082256981377,3.63854935514903,5.00100488090668,5.17933714837104,5.44873019090726,5.04488776950992,5.49462585112197,4.90109778679583,4.84791369822504,6.34746684141064,4.77395258328715,5.14349615536956,4.83656300399224,6.07865996579351,4.70804148133917,4.98807570423432,3.70867229394379,4.71648520833728,4.55163769185683,5.21580539053015,4.86597794993866,4.88909270366976,4.74995995499478,6.14731911648571,4.89671684271665,6.67777409430805,6.5698011827435,4.93716872373817,5.63810847290828,5.92987204081329,4.68163648215155,4.94270966046747,4.663668186229,4.85899323869659,4.99342298918633,6.31393208573013,5.26788573960899,3.60056864328438,4.87200012943205,6.85763475569527,5.30226964982757,3.0498577859346,2.89411271637632,4.55581371087122,4.89138100421541,3.98757966088804,4.74609742205348,4.68910019488642,4.64635026361275,4.63769358882805,4.80344193226876,4.68614632710213,4.90961703072031
"g__Sphingobium",3.37752739739891,3.63854935514903,3.2942456150907,3.35759263929827,3.82459968797734,3.25131647342232,4.39633614753833,3.09716294327636,3.20626056222489,4.15062306223509,3.25790480528182,3.54565221229454,3.27952362461307,-2.78337304583963,3.14030097881497,3.35088400347351,3.10271511755613,3.0441818504487,2.90048530038553,3.43823674510848,3.18731870252483,3.21082163787648,3.14768628775596,6.14731911648571,3.27679710785623,4.48100633377775,5.58908907820826,3.16945659241915,5.38683395296537,3.8510421376418,3.13291555281975,3.21426472516293,3.05970712163648,3.12780938173029,3.44675339490172,4.23514706797249,3.64458122808464,4.69728909579865,3.17542109313274,4.77855192026306,3.71436794543058,2.97841906675486,2.48889361622816,2.8921957342375,3.27599800043989,2.89373089532759,3.13282192203127,3.15511484221867,3.00748817104606,2.98630155771667,3.19696347584885,3.12791959333771,3.12273143118658
"g__Sphingopyxis",3.58401151161306,3.52735257209489,3.56984689621444,3.82293897010481,4.22269807484421,3.65713696284624,4.39633614753833,3.33041833962862,3.66860998750323,5.24894976587799,3.51143982159629,3.95670469816599,3.60625134912004,5.38565444196081,3.49618672937757,3.77363943940578,2.69744646250254,3.47341975256849,3.30210090652683,3.9829423496742,3.65605092952138,3.63629123207635,3.55482417474943,5.23115148096097,3.66536623268392,5.57927602940681,4.49085157246786,3.39178055860123,-3.23803388788524,4.54383985629239,3.48463957045218,3.44791081185981,3.42313813775313,3.53157105604841,3.82550732586077,-2.96020120931117,3.85421576132528,4.29229728237011,3.34770472934559,-3.02110279103233,4.00051972107022,2.72718850543232,2.33486591768966,3.30738931438608,3.68851788880991,4.27466469430745,3.56369558457141,3.55428628455858,3.46061575113871,3.48215944887895,3.63860009241714,3.52663882207317,3.43598159246857
