"","freq","prev","p.freq","p.prev","p","contaminant"
"562",0.122938548409726,91,NA,0.5,0.5,TRUE
"2044467",0.000133230803131305,41,NA,0.85042735042735,0.85042735042735,FALSE
"2935450",1.41321095313417e-05,2,NA,0.521855921855922,0.521855921855922,TRUE
"208962",0.000350653281966701,66,NA,0.261904761904762,0.261904761904762,TRUE
"564",0.000276370565059489,41,NA,0.450549450549451,0.450549450549451,TRUE
"1499973",0.000170029379876171,44,NA,0.483516483516483,0.483516483516483,TRUE
"28901",0.0147548398508407,89,NA,0.478144078144078,0.478144078144078,TRUE
"599",3.45190295611287e-05,11,NA,0.614163614163614,0.614163614163614,TRUE
"54736",3.60643239192012e-05,25,NA,0.738095238095238,0.738095238095238,TRUE
"623",0.00327987311024464,41,NA,0.1001221001221,0.1001221001221,TRUE
"622",0.000500835028550092,31,NA,0.340659340659341,0.340659340659341,TRUE
"624",0.000325052925661481,25,NA,0.738095238095238,0.738095238095238,TRUE
"621",0.000554588667587766,28,NA,0.761538461538461,0.761538461538461,TRUE
"158836",0.00214637774022216,62,NA,0.681318681318681,0.681318681318681,TRUE
"208224",0.000173036463083402,42,NA,0.461538461538462,0.461538461538462,TRUE
"550",0.000115245072420785,63,NA,0.953846153846154,0.953846153846154,FALSE
"299767",5.41441339003833e-05,49,NA,0.894871794871795,0.894871794871795,FALSE
"1812935",2.59246872427074e-05,49,NA,0.894871794871795,0.894871794871795,FALSE
"61645",0.00010804004153442,64,NA,0.957142857142857,0.957142857142857,FALSE
"2077137",7.57302664368241e-07,2,NA,0.521855921855922,0.521855921855922,TRUE
"2497875",7.43495545824866e-06,30,NA,0.776556776556776,0.776556776556776,TRUE
"2071710",1.77318339232272e-05,39,NA,0.838095238095238,0.838095238095238,FALSE
"2742676",1.14765945763213e-05,15,NA,0.652014652014652,0.652014652014652,TRUE
"3026145",4.775251882358e-07,2,NA,0.521855921855922,0.521855921855922,TRUE
"2976431",7.93201791325393e-06,12,NA,0.623809523809524,0.623809523809524,TRUE
"1914861",3.33223407698763e-06,21,NA,0.705128205128205,0.705128205128205,TRUE
