"Diet","Age_wk","response","SE","df","asymp.LCL","asymp.UCL"
"MR","1",600.750088032155,163.431451428973,Inf,352.474871935991,1023.9046723767
"MR+A","1",565.332913191904,177.619945789653,Inf,305.399465217585,1046.50249636273
"MR","5",672.600109498737,163.611283985726,Inf,417.542323678646,1083.46120056056
"MR+A","5",631.600000225124,153.662973045292,Inf,392.059460747278,1017.49504915409
"MR","7",498.500143681504,135.692991270276,Inf,292.392406475404,849.893457378088
"MR+A","7",761.000062750588,185.060698575638,Inf,472.485749722424,1225.69007815922
"MR","9",603.499839935784,164.177372798915,Inf,354.090676212218,1028.58414883603
"MR+A","9",442.16649770217,98.3149052541438,Inf,285.971491470638,683.673784001217
"MR","11",633.199812586346,154.051129933778,Inf,393.053822981246,1020.06895548886
"MR+A","11",629.199771218824,153.080552780215,Inf,390.567674436987,1013.6331755374
"MR","13",244.999965362089,94.6430013606218,Inf,114.907546774374,522.376333952081
"MR+A","13",676.750070395171,184.04877510214,Inf,397.132799111393,1153.24309350587
