"Genus","Mean_RelAbundance"
"Parafannyhessea",4.60115695140979
"Corynebacterium",2.11939771690284
"Streptococcus",1.48642341419274
"Acinetobacter",1.3447179439804
"Psychrobacter",1.25540249775238
"Alistipes",1.24435830861236
"Klebsiella",1.20026044564428
"Neisseria",1.13037789510115
"Bifidobacterium",0.931910008650186
"Brachybacterium",0.887963984654233
"Afipia",0.887680558924007
"Ralstonia",0.873104473076298
"Pseudoclavibacter",0.779266352216179
"Halopseudomonas",0.777731862051126
"Bosea",0.769477836505765
"Bacteroides",0.671295363272255
"Phocaeicola",0.625901749223969
"Leptospira",0.602688330438814
"Gulosibacter",0.561905354777806
"Collinsella",0.518291108253157
"Alteriqipengyuania",0.496221656745791
"Atopobium",0.493605922097294
"Akkermansia",0.430463517515362
"Luteimonas",0.388639324144993
"Rhodoplanes",0.375682074385288
"Bradyrhizobium",0.3576456686135
"Dietzia",0.315625299466345
"Microbacterium",0.265296540150616
"Micrococcus",0.246451100889336
"Pseudomonas",0.225030055227822
"Stutzerimonas",0.206123495499381
"Alicycliphilus",0.196664037881417
"Mesorhizobium",0.191464796227215
"Rhodopseudomonas",0.165509719432868
"Methylorubrum",0.16398877912269
"Variovorax",0.151770826393117
"Stenotrophomonas",0.140975616475177
"Delftia",0.0956411672274283
"Labrys",0.0921482203177725
"Pseudolabrys",0.0894121014158409
"Acidovorax",0.0868845938654486
"Nitrobacter",0.0765889599720663
"Tardiphaga",0.0693801209647123
"Caulobacter",0.0684639235430047
"Variibacter",0.0589366469120899
"Mycobacterium",0.0563018574726404
"Phreatobacter",0.0559096662814305
"Stella",0.0551580974687128
"Rhizorhabdus",0.0539485913023556
"Sediminibacterium",0.053837835922552
"Terrirubrum",0.0534064130639594
"Paracoccus",0.052772747399268
"Enterobacter",0.0513484494794867
"Sphingomonas",0.0501951981883062
"Starkeya",0.0486057665622963
"Cupriavidus",0.0483576513667883
"Pseudosulfitobacter",0.0476274337507858
"Sphingosinithalassobacter",0.045504983381539
"Comamonas",0.0421269176727911
"Paenacidovorax",0.0418873245859529
"Bordetella",0.0418803032800704
"Novosphingobium",0.0416508446775744
"Polaromonas",0.0406609566956126
"Cellulosimicrobium",0.0393773113680744
"Agrobacterium",0.0380738151087384
"Pleomorphomonas",0.0373274465017317
"Streptomyces",0.0365591672997624
"Lysobacter",0.035546088143201
"Rhodoferax",0.0345539955553881
"Tardibacter",0.033498338583715
"Pimelobacter",0.0330398035477284
"Sphingopyxis",0.0323352237732946
"Xanthobacter",0.0322259559133671
"Piscinibacter",0.0318850772143657
"Sphingosinicella",0.0314587893727623
"Ancylobacter",0.0306275373106568
"Kaistia",0.0300930723505247
"Hydrogenophaga",0.029789269020044
"Stakelama",0.0295912494998061
"Breoghania",0.0294375134245022
"Rhodovastum",0.0293652351601278
"Serratia",0.0287710022227452
"Achromobacter",0.0285488953459196
"Chenggangzhangella",0.0279209689775234
"Methylobacterium",0.027838897116742
"Shinella",0.0272281330117778
"Rhodococcus",0.0263512452816598
"Ferrovibrio",0.0262871711449352
"Chelatococcus",0.0255937051505749
"Sphingobium",0.0253664906623267
"Aquibium",0.0247965424026502
"Roseateles",0.0247836092694723
"Blastochloris",0.0243510928796472
"Microvirga",0.0241604566127001
"Nocardia",0.0241063361494246
"Roseomonas",0.0239459929378078
"Eleftheria",0.0235357106291644
"Melaminivora",0.0232266619885358
"Brevundimonas",0.0230120870127183
"Pulveribacter",0.0229325737433074
"Aminobacter",0.0223717555962217
"Hypericibacter",0.0219213154955642
"Hyphomicrobium",0.0216435577929698
"Stappia",0.0212030044987707
"Pelagerythrobacter",0.0209820667188307
"Pseudoroseomonas",0.0209269294965823
"Xylophilus",0.0206307702377511
"Leifsonia",0.0205684950607988
"Kaustia",0.0205515263547676
"Thalassobaculum",0.0205487997522836
"Nitrospirillum",0.0205477251635574
"Ensifer",0.0204730519121419
"Brucella",0.0204336073132732
"Parvibaculum",0.020305445112308
"Aquabacter",0.0201605133738544
"Cohaesibacter",0.0201447145653941
"Haematobacter",0.0200396684080444
"Indioceanicola",0.0195581047299753
"Thauera",0.0192742133955211
"Caldimonas",0.0192069366844192
"Allosphingosinicella",0.019168575577232
"Aurantimonas",0.0191152220073987
"Rhizobacter",0.0186059342927898
"Verminephrobacter",0.0184595840266965
"Rubrivivax",0.018367982386074
"Paroceanicella",0.0181660876525722
"Tsuneonella",0.0180253492997458
"Rhizobium",0.0178199211394019
"Devosia",0.0173479625229852
"Defluviicoccus",0.0171757683302415
"Diaphorobacter",0.0171399202679112
"Hartmannibacter",0.0169120647312579
"Altererythrobacter",0.0167506827930885
"Qipengyuania",0.0167216278837277
"Burkholderia",0.0166968068524908
"Sinorhizobium",0.015999749668823
"Cnuibacter",0.0157668485161065
"Lichenicoccus",0.0155953759284666
"Aureimonas",0.015314686147858
"Ottowia",0.0152296872930932
"Methylibium",0.0151918252943403
"Paracidovorax",0.0148833678461279
"Neorhizobium",0.0148143963196305
"Croceicoccus",0.0148062918649151
"Aquisediminimonas",0.0146206830485705
"Martelella",0.0145678866022138
"Methylovirgula",0.0145221904161406
"Agromyces",0.0143910897999627
"Azospirillum",0.014247343066744
"Youhaiella",0.0142055398223217
"Porphyrobacter",0.0141632641681827
"Rhodospirillum",0.0141018364987682
"Leptothrix",0.0139987082777825
"Parasphingopyxis",0.0139794908668554
"Methylocella",0.0139018106998734
"Hylemonella",0.0138203131525964
"Methylosinus",0.0136523723270262
"Terrihabitans",0.0136309169097025
"Pararoseomonas",0.0134833183777195
"Erythrobacter",0.0133990822257014
"Skermanella",0.0132773987774427
"Sediminicoccus",0.0132495532128941
"Cereibacter",0.0130925822034305
"Sphaerotilus",0.0129644875308162
"Simplicispira",0.012735764348555
"Polymorphum",0.0126776326794319
"Panacibacter",0.0125260654850044
"Nitratireductor",0.0124771616982559
"Paraburkholderia",0.0124484717811243
"Acuticoccus",0.0124272108541741
"Ideonella",0.0122498112169516
"Pararhizobium",0.0122081177623188
"Blastomonas",0.0121571272897137
"Xanthomonas",0.0119741832463525
"Roseibium",0.0119613424742755
"Phyllobacterium",0.0119551601066677
"Ciceribacter",0.0118152026907113
"Methyloligella",0.0115544450792428
"Polymorphobacter",0.0113187912071554
"Hyphomonas",0.0113062030148982
"Komagataeibacter",0.0113012601239708
"Phenylobacterium",0.0111864727080151
"Rhodoligotrophos",0.0111697139430907
"Lichenihabitans",0.0108627173168888
"Nisaea",0.0107393160156197
"Georhizobium",0.0107182080003552
"Usitatibacter",0.0106819164467268
"Novosphingopyxis",0.0104102677780593
"Acidibrevibacterium",0.0103779437513095
"Salipiger",0.0103203973506405
"Castellaniella",0.0103100939422565
"Sphingorhabdus",0.0102857826585691
"Methylocystis",0.010126683706464
"Pigmentiphaga",0.0100075524664802
"Paradevosia",0.00996104610231232
"Allorhizobium",0.00979932709107703
"Sphingomicrobium",0.00963970315396774
"Rugamonas",0.00929304794532309
"Elioraea",0.00919787144496558
"Mycolicibacterium",0.00895876149491801
"Magnetospirillum",0.00886034947527282
"Pyruvatibacter",0.00881268597065218
"Rhodomicrobium",0.00881084860263875
"Pseudorhizobium",0.00873393325273743
"Pandoraea",0.00835100102790771
"Acidiphilium",0.00835080675904281
"Lichenicola",0.00806096392990539
"Niveispirillum",0.00803620367887456
"Roseitalea",0.00764585099548827
"Lacibacter",0.0076123957964153
