"Genus","Mean_RelAbundance"
"Parafannyhessea",0.0363079806613037
"Streptococcus",0.0345922733815865
"Corynebacterium",0.0143170388097238
"Afipia",0.0100893800066798
"Ralstonia",0.00977860997036208
"Psychrobacter",0.0086571508463123
"Bosea",0.00862241223248846
"Mannheimia",0.00837700483824868
"Leptospira",0.00680310646931946
"Pseudoclavibacter",0.00614681176818293
"Brachybacterium",0.00608467413210299
"Halopseudomonas",0.00591452201256874
"Alteriqipengyuania",0.0056154545393556
"Klebsiella",0.00507448539048204
"Gulosibacter",0.00459899335951229
"Rhodoplanes",0.00422123828789636
"Alistipes",0.00421004942383016
"Denitrificimonas",0.00413277130597842
"Acinetobacter",0.00388539308283732
"Rothia",0.00356014639519205
"Bradyrhizobium",0.00354693065806467
"Phocaeicola",0.00352186694705066
"Atopobium",0.00341392994159011
"Akkermansia",0.00337386282664417
"Luteimonas",0.00328616388590798
"Nakamurella",0.00326724618440479
"Microbacterium",0.00296429540185449
"Neisseria",0.00275467493410062
"Dermacoccus",0.00271725693036324
"Bifidobacterium",0.00222409386060803
"Alicycliphilus",0.00221987332523345
"Dietzia",0.00219382347830672
"Mesorhizobium",0.00213953448391771
"Ligilactobacillus",0.002085245498439
"Micrococcus",0.00203285383124019
"Collinsella",0.00190899988615689
"Flintibacter",0.00183401205008069
"Methylorubrum",0.00181717321064156
"Cellulomonas",0.00176997168388023
"Variovorax",0.00167013419177015
"Rhodopseudomonas",0.00155654700979385
"Bacteroides",0.00150498215509085
"Gryllotalpicola",0.0014861210016114
"Stutzerimonas",0.00120202542127837
"Labrys",0.000980600860208098
"Pseudolabrys",0.000964331174796344
"Delftia",0.000948263567464546
"Stenotrophomonas",0.000870670628727793
"Dialister",0.000853173494987329
"Nitrobacter",0.000839805558665143
"Gallibacterium",0.000779575029835505
"Tardiphaga",0.000774668069871816
"Olsenella",0.000723205815435186
"Caulobacter",0.000712774307602988
"Pseudomonas",0.000672162092442868
"Variibacter",0.000666521345777672
"Acidovorax",0.000660577611024653
"Mycobacterium",0.000615857544456189
"Sediminibacterium",0.000611131176678698
"Rhizorhabdus",0.000598157455996224
"Stella",0.000585118546073046
"Phreatobacter",0.000528704573137788
"Sphingomonas",0.000517964579957072
"Starkeya",0.000512758294425041
"Agromyces",0.000476331047764272
"Paenacidovorax",0.000469125337486365
"Pseudosulfitobacter",0.000466186566266484
"Terrirubrum",0.000458413705395874
"Leucobacter",0.00043641041419826
"Streptomyces",0.000429460842432841
"Polaromonas",0.000426501379847124
"Agrobacterium",0.000418298588228716
"Sphingosinithalassobacter",0.000406165123932867
"Bordetella",0.000382589128518037
"Rhodoferax",0.000375221555384102
"Tardibacter",0.000372820812508585
"Xanthobacter",0.000367259359091066
"Pleomorphomonas",0.000359348365197766
"Cupriavidus",0.000350299730273448
"Sphingosinicella",0.000346176728709956
"Sphingopyxis",0.000341988866129438
"Kaistia",0.000341389297684595
"Ancylobacter",0.000327783806562249
"Chenggangzhangella",0.000314156800693133
"Hydrogenophaga",0.000309802154017672
"Enterobacter",0.000304067903684408
"Comamonas",0.000302850571432773
"Ferrovibrio",0.000296935498893173
"Brevundimonas",0.000296034640703443
"Chelatococcus",0.000287236984367605
"Leptogranulimonas",0.000286969912287859
"Paracoccus",0.000284062513515066
"Novosphingobium",0.000283242797551547
"Agrococcus",0.000280159136722492
"Stakelama",0.000271335241176517
"Achromobacter",0.000270260976302358
"Shinella",0.000268890415252893
"Methylobacterium",0.000268846235866655
"Microvirga",0.00026143670064672
"Blastochloris",0.000253316212272803
"Sphingobium",0.000253203908913528
"Lysobacter",0.000250408695781696
"Aquibium",0.000250097118414221
"Curtobacterium",0.000247907035664939
"Hypericibacter",0.000247231477189893
"Piscinibacter",0.00024148167297806
"Stappia",0.000240954242962804
"Cohaesibacter",0.000240205676514287
"Hyphomicrobium",0.000237769165254192
"Rhodococcus",0.000231344775740794
"Nitrospirillum",0.000231023490298122
"Xylophilus",0.000230235177295357
"Thalassobaculum",0.000228867143025704
"Kaustia",0.000228277018222919
"Aquabacter",0.000227471536472154
"Aminobacter",0.000216934595615909
"Allosphingosinicella",0.000214758321113141
"Breoghania",0.000210924564542707
"Aurantimonas",0.000210173597125267
"Verminephrobacter",0.00020709223380184
"Pulveribacter",0.000206309663903167
"Serratia",0.000205747368362421
"Rhodovastum",0.000203641723737738
"Roseomonas",0.000202401023725247
"Rhizobium",0.000201597301614845
"Brucella",0.00019815740384826
"Hartmannibacter",0.000196042411630295
"Paroceanicella",0.000195043886356897
"Cellulosimicrobium",0.000194104922913109
"Melaminivora",0.000192565526766918
"Limosilactobacillus",0.000191299396972875
"Parvibaculum",0.000190146967960256
"Leifsonia",0.000189154376533765
"Indioceanicola",0.00018787658209599
"Pimelobacter",0.000187309036900474
"Butyrivibrio",0.000186777213684509
"Pseudoroseomonas",0.000186471267929111
"Defluviicoccus",0.000181449858940315
"Caldimonas",0.000179668644507086
"Mycolicibacterium",0.000177935129091696
"Diaphorobacter",0.000177308410375536
"Ottowia",0.000172984432400291
"Roseateles",0.000169414190110268
"Rhizobacter",0.000169116729855746
"Ensifer",0.000167248653229496
"Martelella",0.000165581810933625
"Qipengyuania",0.000165359118074567
"Aquisediminimonas",0.00016345633493678
"Pelagerythrobacter",0.000163223330290996
"Tsuneonella",0.000162001921194875
"Hylemonella",0.000161636194689272
"Parasphingopyxis",0.000158665579805891
"Paracidovorax",0.000157374353292088
"Azospirillum",0.000157190977029946
"Altererythrobacter",0.000156420323983677
"Methylovirgula",0.000156216316534593
"Methylosinus",0.000155005708780577
"Ideonella",0.000153340720716933
"Neorhizobium",0.000153232989362821
"Terrihabitans",0.00015306277196591
"Eleftheria",0.000151625033752496
"Croceicoccus",0.000151588195969244
"Phyllobacterium",0.000150786309809215
"Sediminicoccus",0.000146888780300801
"Aureimonas",0.000144976822983005
"Sphaerotilus",0.000144404442061181
"Polymorphum",0.000143989269950525
"Youhaiella",0.000143801531524597
"Rubrivivax",0.000143791660636319
"Erythrobacter",0.000143182770171658
"Sinorhizobium",0.000143165019584262
"Nocardia",0.000142531018423396
"Xanthomonas",0.000142490482664115
"Skermanella",0.000141614708350959
"Rhodospirillum",0.000139908488624128
"Acuticoccus",0.000137589138215565
"Methylocella",0.000136453181328232
"Simplicispira",0.000136321541038366
"Roseibium",0.000135844293582462
"Blastomonas",0.00013548657334421
"Burkholderia",0.000135187332582064
"Devosia",0.000133013970469509
"Panacibacter",0.000131796164385699
"Nitratireductor",0.000130742325976901
"Methyloligella",0.000128357128286426
"Hyphomonas",0.000127928598147948
"Ciceribacter",0.00012477314863863
"Polymorphobacter",0.000124639680256675
"Komagataeibacter",0.000124229846786032
"Rhodoligotrophos",0.00012404116355864
"Nisaea",0.000121603265338067
"Leptothrix",0.000121479479893295
"Pararoseomonas",0.000121165082507987
"Methylocystis",0.000119999745902092
"Haematobacter",0.000119794126738448
"Georhizobium",0.000119304972941371
"Novosphingopyxis",0.00011880721428646
"Phenylobacterium",0.00011865353218755
"Castellaniella",0.000118453299452258
"Usitatibacter",0.000118440275467066
"Pigmentiphaga",0.000117975355058761
"Sphingorhabdus",0.000117160307951627
"Acidibrevibacterium",0.000116967520029238
"Paradevosia",0.000116862910777853
"Lichenihabitans",0.000114245414974429
"Allorhizobium",0.000113815059815359
"Pararhizobium",0.000113726742423688
"Pandoraea",0.000108858767103366
"Porphyrobacter",0.00010653842262213
"Paraburkholderia",0.000104805815947757
"Sphingomicrobium",0.00010474118052453
"Elioraea",0.000102435213736546
"Roseovarius",0.000101841848839089
"Magnetospirillum",9.75604550379611e-05
"Rhodomicrobium",9.64018893562995e-05
"Azoarcus",9.61191580397576e-05
"Pseudorhizobium",9.5657083858873e-05
"Cereibacter",9.50097624493969e-05
"Methyloceanibacter",9.48691070330223e-05
"Acidiphilium",9.26005533568597e-05
"Thauera",9.20337885282696e-05
"Roseitalea",9.03684856105554e-05
"Lichenicola",8.92786653881511e-05
"Niveispirillum",8.88292511755759e-05
"Salipiger",8.83877581606357e-05
"Lacibacter",8.58557938127469e-05
"Methylibium",8.31133879985527e-05
"Lichenicoccus",8.02721745305515e-05
