"","AMC10","AMC1","AMC21","AMC22","AMC23","AMC24","AMC25","AMC26","AMC27","AMC28","AMC29","AMC2","AMC30","AMC31","AMC32","AMC33","AMC34","AMC35","AMC36","AMC37","AMC38","AMC39","AMC3","AMC40","AMC41","AMC42","AMC43","AMC44","AMC45","AMC46","AMC47","AMC48","AMC49","AMC4","AMC50","AMC51","AMC52","AMC53","AMC54","AMC55","AMC56","AMC57","AMC58","AMC59","AMC5","AMC60","AMC6","AMC7","AMC8","AMC91","AMC93","AMC94","AMC95","AMC96","AMC9","Genus"
"573",0.224242424242424,0.00035153982619217,0.00201144979111868,0,0,0.000307827616534741,0.000136859752968146,0.00916758342500917,0.000103678871973873,8.61841947762802e-05,0,0.0829741379310345,8.85844209531684e-05,0,0,0.000387164512107094,0,0.000148907909392515,0.000177580881081561,0.000411967660538648,0.000375494177158153,0,0.0761802575107296,6.92778248610402e-05,0.00983606557377049,0.0017257334367106,0.00021156392756678,0,0.000225548623200376,0.0547169811320755,0.000294819222213288,0,0.0314061384725196,0.000557593372604486,0.0172794117647059,0,0.000163819936024004,0,0.000102736847348611,0.000576002304009216,0.0031201248049922,0,0.00371057513914657,0.000179897715299016,0.0848563968668407,2.91551989550777e-05,0.000186435665276894,0.0254777070063694,0.0273504273504274,0.000122597531506089,0.000151089769299658,0.000163276552211504,8.76283831354644e-05,0.000109412040534556,0.000281185918757844,"Klebsiella"
"2053287",0.0363636363636364,0,0.0323379235649079,2.32827063817898e-05,0,0,0,0.00513384671800513,1.72798119956455e-05,1.43640324627134e-05,0.027027027027027,0.0344827586206897,0.000236225122541782,0.0201612903225806,0,5.2496882997572e-05,0.00389105058365759,5.36068473813055e-05,0,0.0128224934342654,2.68210126541538e-06,0.00998336106489185,0.0289699570815451,3.00203907731174e-05,0,0,0,0,0,0.0226415094339623,0,0.0155400155400155,0.0114204139900071,0.00130558448219587,0.0106617647058824,0.00212992545260916,4.3110509480001e-05,2.29200091680037e-05,3.11323779844276e-06,0,0.0046801872074883,0,0.00432900432900433,0,0.095822454308094,8.7465596865233e-06,1.40832696791898e-05,0.136942675159236,0.222222222222222,3.84040460139554e-05,2.19766937163138e-05,3.31655496679618e-05,9.0650051519446e-06,5.21009716831219e-06,9.60147039660931e-05,"Acinetobacter"
"3064892",0.00606060606060606,0,0.00603434937335603,1.55218042545265e-05,0,0,5.13224073630547e-05,0.00953428676200953,1.03678871973873e-05,6.22441406717579e-05,0.00675675675675676,0.0204741379310345,0.00010334849111203,0.0147849462365591,1.71955738592886e-05,0,0.00544747081712062,0.000166776858519617,0,0.00535557958700242,4.02315189812307e-06,0.00332778702163062,0.0954935622317597,9.23704331480536e-06,0,0,0,0,0,0.0113207547169811,0,0.027972027972028,0.0164168451106353,0.00029531077573478,0.00330882352941176,0.00266240681576145,8.62210189600021e-06,0,4.66985669766414e-06,0,0.0062402496099844,0,0.00309214594928881,2.56996736141451e-05,0.506135770234987,5.83103979101553e-06,6.03568700536707e-06,0,0.107692307692308,4.28352820924888e-05,2.74708671453923e-06,7.65358838491427e-06,5.74116992956491e-05,5.21009716831219e-06,6.85819314043522e-05,"Psychrobacter"
"40324",0.0121212121212121,0.000498696032505171,0.0021661766981278,0.000294914280836004,0.000546373446250512,0.00134124890061566,0.000299380709617819,0.00366703337000367,0.000604793419847592,0.00035431280074693,0.00168918918918919,0.00754310344827586,0.00042077599952755,0,0.000232140247100396,0.00015092853861802,0.00155642023346304,0.000220383705900923,0.000471991289190465,0.000823935321077295,0.000362083670831076,0.00166389351081531,0.00429184549356223,0.000304822429388577,0.00327868852459016,0.000225095665657905,0.000391785051049592,0.00027120315581854,0.00038438568179219,0,0.000321620969687224,0.00466200466200466,0.00428265524625268,0.000332224622701627,0.00220588235294118,0.00425985090521832,0.000319017770152008,0.000236840094736038,0.000269295069565299,0.000276001104004416,0.0031201248049922,0.000264395732775848,0.00123685837971552,0.000205597388913161,0.00156657963446475,0.000309045108923823,0.000263558332567695,0,0.00512820512820513,0.000314617761575866,0.000236249457450374,0.000239812436060647,0.000495553614972971,0.000354286607445229,0.00045949894040916,"Stenotrophomonas"
"1176536",0.0909090909090909,0.000196208275084002,0.000154726907009129,0.000209544357436108,0.000170741701953285,0.000219876868953386,0.000256612036815274,0.00403373670700403,0.000145150420763422,0.000225036508582509,0.00168918918918919,0.00107758620689655,0.000140258666509183,0.00134408602150538,0.000214944673241108,0.000157490648992716,0,0.000184645807646719,0.000205619967568123,5.1495957567331e-05,0.000174336582252,0,0,0.000191668648782211,0.00327868852459016,0.000175074406622815,0.000172385422461821,0.00019723865877712,0.000190604470310177,0.0141509433962264,0.00022781485352845,0,0.0092790863668808,0.000151541055969163,0.00147058823529412,0,0.000198308343608005,0.000145160058064023,0.000168114841115909,0.00024000096000384,0,0.000172164663202878,0,0.000128498368070726,0.000130548302872063,0.000209917432476559,0.000206554621961451,0,0,0.000152139105362977,0.000197790243446825,0.000198993298007771,0.000166191761118984,0.000255294761247297,0.000178313021651316,"Novosphingobium"
"2780074",0.00606060606060606,0.000253435688650169,0,0.000341479693599584,0.000204890042343942,0.000527704485488127,0.000299380709617819,0.000366703337000367,0.00026956506713207,0.000191520432836178,0,0,0.000228843087462352,0,0.000533062789637947,0.000301857077236039,0,0.000226340022276623,0.000359834943244216,0,0.000277597480970492,0,0,0.000323296516018188,0,0.000325138183728084,0.000352606545944633,0.000379684418145957,0.00027319974077792,0,0.00031492053281874,0,0,0.000326396120548967,0,0.00053248136315229,0.000387994585320009,0.000267400106960043,0.000228822978185543,0.000192000768003072,0,0.000172164663202878,0,0.000282696409755596,0,0.000335284787983393,0.0002769709703574,0,0,0.000271782479483377,0.000295311821812967,0.000198993298007771,0.000290080164862227,0.000315210878682887,0.000336051463881326,"Novosphingobium"
"702113",0.00606060606060606,0.000179857585493668,0,0.000217305259563372,0.000290260893320585,0.000197889182058047,0.000153967222089164,0,0.00022809351834252,0.000201096454477987,0,0,0.000221461052382921,0,0.000429889346482215,7.8745324496358e-05,0,0.000178689491271018,0.000186927243243748,0,0.000193111291109907,0,0,0.000237853865356238,0,5.00212590350899e-05,0.000305592339818682,0.00017258382642998,0.000181074246794668,0,0.000254616601002385,0,0,0.000174855064579804,0,0,0.000112087324648003,0.000259760103904042,0.000189907505705008,0.000132000528002112,0,9.83798075445015e-05,0,0.000282696409755596,0,0.000233241591640621,0.000226002946756522,0,0,0.000132937082356,0.000192296070017746,0.00020919808252099,0.000214538455262689,0.000135462526376117,0.000267469532476974,"Novosphingobium"
"48935",0.00606060606060606,0.000474169998119671,0,0.000442371421254007,0.000443928425078541,0.00063764291996482,0.000564546480993602,0,0.00049765858547459,0.000756505709702904,0,0,0.000730821472863639,0,0.000799594184456921,0.000734956361966008,0,0.000792190077968181,0.000691630800001869,5.1495957567331e-05,0.000577992822697014,0,0,0.000570387424689231,0,0.000325138183728084,0.000877598514351086,0.000616370808678501,0.000584520375617876,0.00188679245283019,0.000656642813111415,0,0,0.000384681142075568,0,0,0.000508704011864012,0.000725800290320116,0.000652223318773758,0.00066000264001056,0,0.000787038460356012,0,0.000848089229266788,0,0.000320707188505854,0.00056802521039399,0,0,0.000629235523151731,0.000585129470196856,0.000423498557298589,0.00063152869225214,0.000875296324276448,0.000438924360987854,"Novosphingobium"
"93064",0.0545454545454545,0.00318020912531986,0,0.0026619894296513,0.00348313071984702,0.00301231310466139,0.00289116228145208,0.000733406674000733,0.00351471375991429,0.00180029206866008,0.00168918918918919,0,0.0018750369101754,0,0.00275988960441582,0.00165365181442352,0,0.00186432702559429,0.00206554603784342,0.000205983830269324,0.00209874424018753,0.00166389351081531,0,0.00197903653019705,0,0.00235099917464923,0.00216265348179375,0.00216962524654832,0.00172814719747894,0,0.00198332931307121,0.00155400155400155,0.00142755174875089,0.00330087505245652,0.000735294117647059,0,0.00142264681284003,0.00300252120100848,0.00201582147449169,0.00268801075204301,0,0.00213361207612138,0,0.00251856801418622,0,0.00312543732798433,0.00207292317039884,0.00636942675159236,0,0.00177249443141333,0.00177324447423507,0.00183175882012281,0.00173141598402142,0.00231588819131477,0.00368970790955415,"Sphingomonas"
"2878542",0.00606060606060606,0.00077665775554084,0,0.000582067659544745,8.53708509766425e-05,0.000461741424802111,0.000615868888356657,0,0.000577145720654559,0.000435708984702305,0,0,0.000265753262859505,0,0.000705018528230833,0.000341229739484218,0,0.000440767411801845,0.000369181305406403,0,0.000459980367018737,0,0,0.000314059472703382,0,0.000500212590350899,9.40284122519021e-05,0.000453648915187377,0.000295436928980774,0.00377358490566038,0.000201013106054515,0,0,0.000645020904894388,0,0,0.000500081909968012,0.000886240354496142,0.00054170337692904,0.000516002064008256,0,0.000498047775694039,0,0.000822389555652643,0,0.000737626533563465,0.000573390265509871,0,0,0.000595262713216309,0.000690892308706617,0.000528097598559084,0.000719157075387604,0.000664287388959804,0.000548655451234818,"Sphingobium"
