"OTU","Genus","Sample","RelAbundance"
"573","Klebsiella","AMC10",0.224242424242424
"573","Klebsiella","AMC1",0.00035153982619217
"573","Klebsiella","AMC21",0.00201144979111868
"573","Klebsiella","AMC22",0
"573","Klebsiella","AMC23",0
"573","Klebsiella","AMC24",0.000307827616534741
"573","Klebsiella","AMC25",0.000136859752968146
"573","Klebsiella","AMC26",0.00916758342500917
"573","Klebsiella","AMC27",0.000103678871973873
"573","Klebsiella","AMC28",8.61841947762802e-05
"573","Klebsiella","AMC29",0
"573","Klebsiella","AMC2",0.0829741379310345
"573","Klebsiella","AMC30",8.85844209531684e-05
"573","Klebsiella","AMC31",0
"573","Klebsiella","AMC32",0
"573","Klebsiella","AMC33",0.000387164512107094
"573","Klebsiella","AMC34",0
"573","Klebsiella","AMC35",0.000148907909392515
"573","Klebsiella","AMC36",0.000177580881081561
"573","Klebsiella","AMC37",0.000411967660538648
"573","Klebsiella","AMC38",0.000375494177158153
"573","Klebsiella","AMC39",0
"573","Klebsiella","AMC3",0.0761802575107296
"573","Klebsiella","AMC40",6.92778248610402e-05
"573","Klebsiella","AMC41",0.00983606557377049
"573","Klebsiella","AMC42",0.0017257334367106
"573","Klebsiella","AMC43",0.00021156392756678
"573","Klebsiella","AMC44",0
"573","Klebsiella","AMC45",0.000225548623200376
"573","Klebsiella","AMC46",0.0547169811320755
"573","Klebsiella","AMC47",0.000294819222213288
"573","Klebsiella","AMC48",0
"573","Klebsiella","AMC49",0.0314061384725196
"573","Klebsiella","AMC4",0.000557593372604486
"573","Klebsiella","AMC50",0.0172794117647059
"573","Klebsiella","AMC51",0
"573","Klebsiella","AMC52",0.000163819936024004
"573","Klebsiella","AMC53",0
"573","Klebsiella","AMC54",0.000102736847348611
"573","Klebsiella","AMC55",0.000576002304009216
"573","Klebsiella","AMC56",0.0031201248049922
"573","Klebsiella","AMC57",0
"573","Klebsiella","AMC58",0.00371057513914657
"573","Klebsiella","AMC59",0.000179897715299016
"573","Klebsiella","AMC5",0.0848563968668407
"573","Klebsiella","AMC60",2.91551989550777e-05
"573","Klebsiella","AMC6",0.000186435665276894
"573","Klebsiella","AMC7",0.0254777070063694
"573","Klebsiella","AMC8",0.0273504273504274
"573","Klebsiella","AMC91",0.000122597531506089
"573","Klebsiella","AMC93",0.000151089769299658
"573","Klebsiella","AMC94",0.000163276552211504
"573","Klebsiella","AMC95",8.76283831354644e-05
"573","Klebsiella","AMC96",0.000109412040534556
"573","Klebsiella","AMC9",0.000281185918757844
"2053287","Acinetobacter","AMC10",0.0363636363636364
"2053287","Acinetobacter","AMC1",0
"2053287","Acinetobacter","AMC21",0.0323379235649079
"2053287","Acinetobacter","AMC22",2.32827063817898e-05
"2053287","Acinetobacter","AMC23",0
"2053287","Acinetobacter","AMC24",0
"2053287","Acinetobacter","AMC25",0
"2053287","Acinetobacter","AMC26",0.00513384671800513
"2053287","Acinetobacter","AMC27",1.72798119956455e-05
"2053287","Acinetobacter","AMC28",1.43640324627134e-05
"2053287","Acinetobacter","AMC29",0.027027027027027
"2053287","Acinetobacter","AMC2",0.0344827586206897
"2053287","Acinetobacter","AMC30",0.000236225122541782
"2053287","Acinetobacter","AMC31",0.0201612903225806
"2053287","Acinetobacter","AMC32",0
"2053287","Acinetobacter","AMC33",5.2496882997572e-05
"2053287","Acinetobacter","AMC34",0.00389105058365759
"2053287","Acinetobacter","AMC35",5.36068473813055e-05
"2053287","Acinetobacter","AMC36",0
"2053287","Acinetobacter","AMC37",0.0128224934342654
"2053287","Acinetobacter","AMC38",2.68210126541538e-06
"2053287","Acinetobacter","AMC39",0.00998336106489185
"2053287","Acinetobacter","AMC3",0.0289699570815451
"2053287","Acinetobacter","AMC40",3.00203907731174e-05
"2053287","Acinetobacter","AMC41",0
"2053287","Acinetobacter","AMC42",0
"2053287","Acinetobacter","AMC43",0
"2053287","Acinetobacter","AMC44",0
"2053287","Acinetobacter","AMC45",0
"2053287","Acinetobacter","AMC46",0.0226415094339623
"2053287","Acinetobacter","AMC47",0
"2053287","Acinetobacter","AMC48",0.0155400155400155
"2053287","Acinetobacter","AMC49",0.0114204139900071
"2053287","Acinetobacter","AMC4",0.00130558448219587
"2053287","Acinetobacter","AMC50",0.0106617647058824
"2053287","Acinetobacter","AMC51",0.00212992545260916
"2053287","Acinetobacter","AMC52",4.3110509480001e-05
"2053287","Acinetobacter","AMC53",2.29200091680037e-05
"2053287","Acinetobacter","AMC54",3.11323779844276e-06
"2053287","Acinetobacter","AMC55",0
"2053287","Acinetobacter","AMC56",0.0046801872074883
"2053287","Acinetobacter","AMC57",0
"2053287","Acinetobacter","AMC58",0.00432900432900433
"2053287","Acinetobacter","AMC59",0
"2053287","Acinetobacter","AMC5",0.095822454308094
"2053287","Acinetobacter","AMC60",8.7465596865233e-06
"2053287","Acinetobacter","AMC6",1.40832696791898e-05
"2053287","Acinetobacter","AMC7",0.136942675159236
"2053287","Acinetobacter","AMC8",0.222222222222222
"2053287","Acinetobacter","AMC91",3.84040460139554e-05
"2053287","Acinetobacter","AMC93",2.19766937163138e-05
"2053287","Acinetobacter","AMC94",3.31655496679618e-05
"2053287","Acinetobacter","AMC95",9.0650051519446e-06
"2053287","Acinetobacter","AMC96",5.21009716831219e-06
"2053287","Acinetobacter","AMC9",9.60147039660931e-05
"3064892","Psychrobacter","AMC10",0.00606060606060606
"3064892","Psychrobacter","AMC1",0
"3064892","Psychrobacter","AMC21",0.00603434937335603
"3064892","Psychrobacter","AMC22",1.55218042545265e-05
"3064892","Psychrobacter","AMC23",0
"3064892","Psychrobacter","AMC24",0
"3064892","Psychrobacter","AMC25",5.13224073630547e-05
"3064892","Psychrobacter","AMC26",0.00953428676200953
"3064892","Psychrobacter","AMC27",1.03678871973873e-05
"3064892","Psychrobacter","AMC28",6.22441406717579e-05
"3064892","Psychrobacter","AMC29",0.00675675675675676
"3064892","Psychrobacter","AMC2",0.0204741379310345
"3064892","Psychrobacter","AMC30",0.00010334849111203
"3064892","Psychrobacter","AMC31",0.0147849462365591
"3064892","Psychrobacter","AMC32",1.71955738592886e-05
"3064892","Psychrobacter","AMC33",0
"3064892","Psychrobacter","AMC34",0.00544747081712062
"3064892","Psychrobacter","AMC35",0.000166776858519617
"3064892","Psychrobacter","AMC36",0
"3064892","Psychrobacter","AMC37",0.00535557958700242
"3064892","Psychrobacter","AMC38",4.02315189812307e-06
"3064892","Psychrobacter","AMC39",0.00332778702163062
"3064892","Psychrobacter","AMC3",0.0954935622317597
"3064892","Psychrobacter","AMC40",9.23704331480536e-06
"3064892","Psychrobacter","AMC41",0
"3064892","Psychrobacter","AMC42",0
"3064892","Psychrobacter","AMC43",0
"3064892","Psychrobacter","AMC44",0
"3064892","Psychrobacter","AMC45",0
"3064892","Psychrobacter","AMC46",0.0113207547169811
"3064892","Psychrobacter","AMC47",0
"3064892","Psychrobacter","AMC48",0.027972027972028
"3064892","Psychrobacter","AMC49",0.0164168451106353
"3064892","Psychrobacter","AMC4",0.00029531077573478
"3064892","Psychrobacter","AMC50",0.00330882352941176
"3064892","Psychrobacter","AMC51",0.00266240681576145
"3064892","Psychrobacter","AMC52",8.62210189600021e-06
"3064892","Psychrobacter","AMC53",0
"3064892","Psychrobacter","AMC54",4.66985669766414e-06
"3064892","Psychrobacter","AMC55",0
"3064892","Psychrobacter","AMC56",0.0062402496099844
"3064892","Psychrobacter","AMC57",0
"3064892","Psychrobacter","AMC58",0.00309214594928881
"3064892","Psychrobacter","AMC59",2.56996736141451e-05
"3064892","Psychrobacter","AMC5",0.506135770234987
"3064892","Psychrobacter","AMC60",5.83103979101553e-06
"3064892","Psychrobacter","AMC6",6.03568700536707e-06
"3064892","Psychrobacter","AMC7",0
"3064892","Psychrobacter","AMC8",0.107692307692308
"3064892","Psychrobacter","AMC91",4.28352820924888e-05
"3064892","Psychrobacter","AMC93",2.74708671453923e-06
"3064892","Psychrobacter","AMC94",7.65358838491427e-06
"3064892","Psychrobacter","AMC95",5.74116992956491e-05
"3064892","Psychrobacter","AMC96",5.21009716831219e-06
"3064892","Psychrobacter","AMC9",6.85819314043522e-05
"40324","Stenotrophomonas","AMC10",0.0121212121212121
"40324","Stenotrophomonas","AMC1",0.000498696032505171
"40324","Stenotrophomonas","AMC21",0.0021661766981278
"40324","Stenotrophomonas","AMC22",0.000294914280836004
"40324","Stenotrophomonas","AMC23",0.000546373446250512
"40324","Stenotrophomonas","AMC24",0.00134124890061566
"40324","Stenotrophomonas","AMC25",0.000299380709617819
