"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"573","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","s__pneumoniae"
"521720","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Denitrificimonas","s__caeni"
"2053287","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Acinetobacter","s__pseudolwoffii"
"28090","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Acinetobacter","s__lwoffii"
"3064892","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__sp. van23A"
"75985","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Mannheimia","s__haemolytica"
"40324","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Lysobacterales","f__Lysobacteraceae","g__Stenotrophomonas","s__maltophilia"
"1176536","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium","s__ginsenosidimutans"
"2780074","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium","s__sp. ES2-1"
"702113","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium","s__sp. PP1Y"
"48935","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium","s__aromaticivorans"
"93064","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__koreensis"
